trigram phrase,frequency
cambió el poder,1
hay macri vino,1
los problemas desde,1
ciertas personas y,1
eso que parecía,1
en la cama,1
trato de ser,1
el otro ellos,1
esa parte protectora,1
familia el otro,1
se puede conectar,1
sé si mi,1
lo que decimos,1
como grupo cerrado,1
dos jefaturas de,1
familia grande de,1
bien porque es,1
hicieron atrás de,1
marcos peña no,1
es clara y,1
titulares están todos,1
para todos para,1
saber quién aprende,1
su discurso a,1
gabinete no hice,1
lo invitó después,1
lousteau pero no,1
de la infertilidad,1
pero lilita también,1
para lograrlo sergio,1
gusta mucho involucrarlos,1
ese caos lo,1
en una persona,1
política había que,1
mi cuñado mis,1
gobierno pero no,1
y fernando espinoza,1
julio faltan nombres,1
repartió todos los,1
de revivir los,1
uruguay cómo es,1
al resentimiento y,1
otra cosa viste,1
qué es adrián,1
revés pensaba en,1
que sos un,1
distinto al de,1
fernando de la,1
2001 es natural,1
kirchnerista como decía,1
a tierra hicimos,1
un oportunista o,1
el escudero de,1
y no meterlos,1
estado la liberación,1
hablar y creo,1
de lo mismo,1
creo que sea,1
es el peronismo,1
dentro del peronismo,1
wado de pedro,1
algunos son poco,1
la borda te,1
padre es raro,1
para perder que,1
idea de que,1
más importante hoy,1
repiten consignas de,1
silla tentadora para,1
es subestimar al,1
que se puede,1
lado y la,1
mochilero por asia,1
se mantiene con,1
ganas del otro,1
montón estaba pensando,1
fue rica pero,1
lo sigue ninguneando,1
política es cambiar,1
hay que demostrar,1
juntos no no,1
dirías a esa,1
iban a fallar,1
como una máquina,1
pero es natural,1
cuáles eran los,1
aníbal y moreno,1
en la función,1
juro que no,1
ovodonación habíamos empezado,1
que pasaron por,1
haciendo un face,1
cama le acariciabas,1
la misma pasión,1
pero bueno vamos,1
martín se lo,1
es un intelectual,1
tapa de la,1
entenderían bien porque,1
lógica del resentimiento,1
no si sos,1
energía increíble viene,1
que comprometerse para,1
un montón estaba,1
que uno puede,1
9 y joaquín,1
gane porque veo,1
que tenía para,1
a casa de,1
el campeonato del,1
lado el presidente,1
grande del mundo,1
van superponiendo y,1
que eso también,1
un tipo auténtico,1
te describe de,1
muy bien porque,1
manera y se,1
de casualidad que,1
vocación de ser,1
perder que ganar,1
visión un poco,1
también es algo,1
que mauricio macri,1
que la resignación,1
cuando esconden las,1
se vaya a,1
hayan metido que,1
liderazgo muy centrado,1
desde hace mucho,1
enfermando el alma,1
amasa un churro,1
el más chiquito,1
cristina sino por,1
amistad los amigos,1
no hablo en,1
poder y que,1
quiénes son les,1
el tattoo zen,1
cuánto duran hablan,1
hijos del 20o1,1
los 70 atrasar,1
poder funciona muy,1
todavía hay mucho,1
o a la,1
son más que,1
qué es y,1
del 20o1 nosotros,1
pasa por el,1
la sociedad y,1
elecciones que ganaron,1
trabajo por eso,1
y lo que,1
tenga libertad y,1
mayor agregado fue,1
tocarlo a marcos,1
dujovne son todos,1
porque había unas,1
lo hubieras rescatado,1
de agravios de,1
colocar en un,1
hay mucho camino,1
para abajo vamos,1
son nada hoy,1
todos mega ricos,1
que va adaptando,1
porque él podría,1
él decía escuchen,1
tengo un sesgo,1
subestimar al que,1
de kirchner ojalá,1
con una explicación,1
y lo buenos,1
tu mujer luciana,1
no aparte no,1
macri sin hablarme,1
conocida y eso,1
tenga la vocación,1
de que ustedes,1
generando conocimiento generando,1
les pregunto cuánta,1
está pre armado,1
presidente que cambió,1
cámpora o esconden,1
y se ha,1
salen a jugar,1
rodeado de ciertas,1
las encuestas dicen,1
sus padres y,1
la marcha peronista,1
dejás en la,1
peña y su,1
clima tan agresivo,1
vos sos el,1
y la argentina,1
en el mundo,1
tiempo se ríe,1
es el ambiente,1
está con el,1
les llegan a,1
nacieron con la,1
cristina está muy,1
dos años si,1
de una manera,1
la diputación después,1
no pudo no,1
hoy son más,1
misma pasión entonces,1
distinta que la,1
que se hizo,1
resentimiento y de,1
gran calidad extrañás,1
reivindicativa muy ligada,1
más populista de,1
otro lado no,1
la demostración de,1
como capas que,1
trata de los,1
dé la discusión,1
trata de menem,1
que piensan que,1
toda la familia,1
tenía derecho está,1
macri susana malcorra,1
años somos muy,1
menos tiempo pero,1
de esta nueva,1
la mayoría respalda,1
lo que es,1
el mayor cambio,1
yo veo trabajar,1
cosa que hace,1
mentir el cambio,1
metodológicamente para escuchar,1
rendimos no hay,1
a día son,1
raro pero lo,1
marcos peña ja,1
en una lista,1
dudar de nosotros,1
identidad no y,1
el jefe yo,1
aparato y creo,1
sobrina súper k,1
liberación hoy año,1
por más que,1
