bigram phrase,frequency
escritora donde,1
es y,1
estás menos,1
mientras amasa,1
mucho tiempo,1
políticos que,1
tierra hicimos,1
generando trabajo,1
lo sigue,1
atención es,1
respaldan votan,1
de vivir,1
siquiera se,1
en avión,1
mega ricos,1
como grupo,1
acariciabas la,1
estado hablando,1
te iban,1
opción habré,1
quién aprende,1
time hace,1
se te,1
massa cristina,1
formación lo,1
excepto lilita,1
discurso está,1
través del,1
contra las,1
de abajo,1
está viendo,1
de ocultarlo,1
lo bueno,1
como decía,1
ves el,1
tuviera más,1
ese es,1
políticos armar,1
arriba le,1
si me,1
amistad los,1
también en,1
presidente invitó,1
es día,1
la corrupción,1
todos ocupados,1
y fernando,1
desde un,1
en pleno,1
de manejar,1
hubieras agarrado,1
venía con,1
los carnets,1
partido el,1
ganamos a,1
año en,1
comprometerse para,1
qué necesitamos,1
todo ahí,1
salir esa,1
vivir cómodo,1
padre es,1
la que,1
principales enemigos,1
la entrevista,1
que va,1
en lousteau,1
juntos desde,1
me dijo,1
y tenés,1
en 2016,1
un viaje,1
más populista,1
un partido,1
fue lo,1
gustavo lopetegui,1
diga ya,1
su mujer,1
respuestas enfrentar,1
nosotros mismos,1
equipo está,1
sin dejar,1
con nosotros,1
pena porque,1
ustedes son,1
de no,1
formación no,1
macri le,1
quiero cuidarlos,1
al congreso,1
puede contagiarla,1
para poner,1
la nueva,1
comodidad por,1
construido una,1
jefe y,1
son un,1
autenticidad cuando,1
mentir el,1
qué se,1
escucha a,1
montón y,1
a nuestros,1
no aparte,1
borda lo,1
que habíamos,1
la atención,1
buenos que,1
a seguir,1
acá mario,1
pero ni,1
apoyo menem,1
el mayor,1
tardamos tres,1
dos jefaturas,1
muchas provincias,1
increíble confiesa,1
lilita también,1
profundos y,1
relación sana,1
panadería mientras,1
que creo,1
a otro,1
escandar y,1
prueba de,1
difícil como,1
izquierda de,1
a armar,1
unas ganas,1
identidad por,1
candidatos expresan,1
wado de,1
familia grande,1
que estar,1
visión un,1
