id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1224206,CHIC & BRIGHT w/ Balcony | Recoleta,5597544,Pia & Silvia,,Recoleta,-34.59314,-58.39526,Entire home/apt,12425,4,7,2023-02-01,0.09,31,348,4,
52676455,Palermo Soho 2 dorm vista panorámica! NEW,42388196,Maria,,Palermo,-34.58622,-58.42435,Entire home/apt,20386,5,8,2022-11-25,0.53,19,334,5,
605083773110886649,Hermoso departamento a metros del obelisco,113219074,Lucia,,San Nicolas,-34.60279,-58.38316,Entire home/apt,6359,7,8,2023-03-20,1.02,3,84,8,
777454838658799889,Wonderful apartment Palermo,29208888,Joaco,,Almagro,-34.5987419,-58.41591700000001,Entire home/apt,7987,2,0,,,7,146,0,
51281912,“THE HARMONY APARTAMENT” Best Location. PALERMO,273323525,German,,Palermo,-34.58842,-58.41099,Entire home/apt,12121,3,0,,,1,240,0,
48505101,"Cómodo apartamento en Palermo amoblado, con balcón",3469227,Federico,,Recoleta,-34.59285,-58.40888,Entire home/apt,5798,20,2,2022-12-01,0.22,135,241,2,
601370853030340658,Newly renovated -2 bedroom apartment in Palermo.,234090763,Sol,,Palermo,-34.5735274,-58.4228231,Entire home/apt,28991,3,16,2023-03-20,2.44,1,118,16,
709234968815787467,Incredible 1-bedroom apartment by depptö,441482178,Santiago,,Palermo,-34.58311,-58.44416,Entire home/apt,9569,1,4,2023-01-19,0.74,53,353,4,
830561926348833843,Tandillia baires - Depto renovado - Recoleta,487342299,Gustavo Alejandro,,Recoleta,-34.59776777344739,-58.38755773524179,Entire home/apt,11981,2,1,2023-03-20,1,1,173,1,
851371790887516881,Luminoso 2 amb en Palermo H,1028764,Cecilia,,Palermo,-34.57955,-58.435,Entire home/apt,6657,1,0,,,69,365,0,
810846433573118811,Mint apartment,265312053,Carolina & Macarena,,Retiro,-34.593,-58.38526,Entire home/apt,8283,3,0,,,4,0,0,
694255970447312569,"Hermoso departamento en Recoleta, Buenos Aires.",9689821,Santiago Hernán,,Recoleta,-34.59544,-58.40777,Entire home/apt,4500,7,3,2023-01-27,0.42,2,126,3,
762409224772970500,Suite Corrientes con garage auto mediano,186424944,Ivana,,San Nicolas,-34.60413,-58.3768,Entire home/apt,10147,3,1,2023-01-01,0.34,3,74,1,
706364350805413735,Hermoso Loft Subdivisible 60m2 Nuñez Residencial,477670970,Juan,,Nuñez,-34.556067,-58.4711912,Entire home/apt,8642,3,13,2023-03-20,1.95,1,362,13,Excent
788472592877213009,Super luminoso 3 ambientes c/cochera,319213427,Federico,,Palermo,-34.57773273927655,-58.43770380064821,Entire home/apt,19513,5,1,2023-01-23,0.45,2,0,1,
792662097674221772,Buenos Aires tiene este Nuevo Refugio de Viajeros.,493184162,Luciana Lizabeth,,San Cristobal,-34.622721260755576,-58.40521113086896,Entire home/apt,9111,1,0,,,1,0,0,
2046261,Cozy Amazing Studio in PALERMO Soho,10490466,Gabriela,,Palermo,-34.58419,-58.4263,Entire home/apt,6657,3,10,2023-02-16,0.09,1,352,1,
53124872,2 apartments in the same bldng - Soho II & Tango,7986525,Matias,,Palermo,-34.59288,-58.42841,Entire home/apt,26151,2,2,2022-11-14,0.35,29,64,2,
850630085677415922,Moderno Monoambiente en Palermo,207608296,Yamila,,Recoleta,-34.5948862,-58.4146155,Entire home/apt,4993,1,0,,,1,322,0,
10120326,Alto Palermo Aparment neightborhood,51935181,Gustavo,,Palermo,-34.58475,-58.41005,Entire home/apt,12010,7,37,2020-01-11,0.42,2,56,0,
664172,Palermo Soho Loft B with terrace,3334331,Aida,,Palermo,-34.58532,-58.42653,Entire home/apt,24755,5,3,2019-03-11,0.03,10,360,0,
