id_viaje	id_taxista	distancia	duracion	cantidad_pasajeros
884	831	1321	452	1
885	418	2590	509	1
886	614	984	340	2
887	503	3176	836	2
888	664	10359	1112	1
889	806	1921	543	1
890	122	2875	661	1
891	334	3	225	3
892	767	8397	1798	1
893	443	6224	787	1
894	611	9007	1719	2
895	125	1184	441	2
896	177	4577	1363	1
897	780	2614	668	1
898	428	1021	457	2
899	869	3405	718	1
900	461	4319	613	2
901	125	3951	1338	1
902	813	8330	1567	1
903	728	4429	937	3
904	685	1140	362	1
905	881	2907	723	2
906	799	5465	1239	3
907	214	3294	724	1
908	920	1072	289	2
909	47	12000	1663	1
910	501	487	781	2
911	438	4396	1106	2
912	207	3956	899	1
913	826	5207	1099	1
914	558	1287	354	1
915	606	6491	1186	1
916	756	3651	871	1
917	937	7117	1613	1
918	731	5384	1136	1
919	775	2156	575	1
920	650	4751	1063	1
921	318	6002	928	1
922	164	4676	935	1
923	423	3287	916	2
924	745	2480	784	2
925	651	1616	288	1
926	796	21743	3084	1
927	248	6979	1269	1
928	779	1743	337	1
929	923	1923	476	1
930	437	25924	2686	1
931	351	1156	282	1
932	230	2154	452	1
933	189	4555	696	1
934	869	7527	1496	2
935	42	30322	2056	1
936	39	6486	1807	1
937	781	1052	261	2
938	558	8136	1620	1
939	931	1451	675	1
940	667	4651	1044	2
941	348	10645	1981	1
942	295	2721	611	1
943	362	1650	589	1
944	733	3475	826	2
945	784	839	289	1
946	192	917	492	2
947	204	2581	375	1
948	420	1172	270	1
949	446	1820	649	1
950	362	3653	921	1
951	21	1787	609	4
952	164	5910	1195	1
953	258	5267	1403	1
954	679	3741	787	1
955	8	937	379	1
956	781	5819	1421	2
957	506	3549	950	2
958	107	5509	1033	1
959	48	4174	671	2
960	93	2636	382	2
961	664	819	320	1
962	20	1885	505	2
963	456	6635	1519	1
964	594	1572	428	1
965	258	1894	512	1
966	594	965	355	2
967	48	4054	1204	1
968	337	4656	1012	1
969	200	7	1305	2
970	105	2930	1155	1
971	692	2855	1010	1
972	115	4519	1056	2
973	925	2193	816	1
974	780	4829	1082	1
975	128	8337	1204	1
976	912	6040	1033	1
977	377	2893	748	1
978	187	1982	400	2
979	179	1843	581	1
980	424	4522	986	1
981	289	699	221	2
982	44	2425	720	1
983	806	1203	378	2
984	87	4465	1212	1
985	36	5226	1191	1
986	728	729	285	1
987	558	8368	1567	1
988	815	3417	718	1
989	728	3178	825	2
990	34	6036	1644	1
991	682	2850	599	1
992	289	3743	734	1
993	413	7672	1517	1
994	815	2173	517	1
995	359	3936	850	2
996	31	903	211	2
997	826	2829	527	1
998	248	245	908	2
999	433	1765	521	1
1000	834	1274	516	1
1001	685	3040	781	2
1002	780	3295	724	1
1003	702	3231	877	1
1004	941	5006	1406	2
1005	99	1307	445	1
1006	101	2759	662	1
1007	146	5504	936	1
1008	389	2687	609	1
1009	249	10067	1061	1
1010	914	4453	949	2
1011	293	2360	599	1
1012	294	10	516	1
1013	228	2407	733	1
1014	245	4851	1062	1
1015	883	2667	812	1
1016	666	4634	1332	2
1017	834	4923	1223	2
1018	245	3804	768	1
1019	550	40	991	1
1020	833	3637	868	1
1021	11	5661	1361	1
1022	373	7391	1599	1
1023	794	3191	544	1
1024	885	4430	847	2
1025	728	2317	793	2
1026	291	1826	352	1
1027	796	6931	1418	1
1028	773	11719	1648	2
1029	88	5388	1215	1
1030	174	5256	1398	2
1031	720	1431	307	2
1032	1	7009	1684	1
1033	711	35	153	1
1034	373	2566	755	1
1035	362	3136	787	3
1036	810	1087	464	2
1037	773	3340	591	3
1038	857	2332	603	1
1039	298	2844	813	1
1040	381	746	416	1
1041	756	1963	561	3
1042	931	8733	1337	1
1043	844	8012	1176	2
1044	237	5842	1048	1
1045	16	4052	841	1
1046	785	2829	694	1
1047	62	1592	507	2
1048	578	3487	674	2
1049	949	1764	418	1
1050	806	8632	1651	1
1051	1	279	388	1
1052	6	2984	770	1
1053	609	7545	1740	2
1054	785	2909	649	1
1055	594	1162	394	1
1056	192	6298	1101	2
1057	16	2491	699	2
1058	200	5484	864	1
1059	105	41	1683	4
1060	398	5441	1246	1
1061	625	2983	741	1
1062	769	3628	962	2
1063	831	864	278	2
1064	833	1583	446	3
1065	164	1001	378	1
1066	93	5168	927	1
1067	668	1484	348	2
1068	341	1733	518	1
1069	165	2314	749	1
1070	256	5428	1169	1
1071	890	1178	398	1
1072	39	1462	527	2
1073	93	1629	560	1
1074	641	1768	810	1
1075	594	2488	837	1
1076	105	6919	1510	1
1077	719	13010	1899	3
1078	93	1329	324	3
1079	608	3504	653	1
1080	831	3424	923	2
1081	398	5275	1171	1
1082	594	3231	725	2
1083	8	6007	1343	1
1084	679	1461	481	1
1085	55	4619	1151	2
1086	2	552	231	1
1087	594	1625	660	1
1088	257	3709	817	2
1089	57	9727	1321	1
1090	487	3182	761	1
1091	398	1417	431	1
1092	2	2708	836	1
1093	923	1995	560	2
1094	735	1495	497	2
1095	877	1087	314	1
1096	831	2742	689	1
1097	395	3820	1203	2
1098	39	1939	451	2
1099	105	4974	1213	1
1100	2	3199	754	1
1101	788	1893	711	1
1102	710	569	214	1
1103	8	28045	2048	2
1104	735	1805	580	1
1105	672	9248	1758	2
1106	193	1756	619	1
1107	594	6914	1398	1
1108	664	3201	1257	1
1109	418	5242	1305	1
1110	6	12336	1500	1
1111	692	6372	1349	1
1112	387	6518	1137	1
1113	605	1026	426	1
1114	885	3259	940	2
1115	692	6778	1607	1
1116	376	3613	1045	1
1117	799	5233	1328	2
1118	885	6041	1033	1
1119	567	1993	543	1
1120	334	837	286	3
1121	215	4250	1083	2
1122	501	1687	580	2
1123	925	2551	815	1
1124	885	2562	797	3
1125	128	1903	642	1
1126	563	4413	883	1
1127	7	2382	663	1
1128	811	1204	378	2
1129	767	2928	860	1
1130	372	7968	1976	1
1131	811	1203	375	2
1132	261	12287	1182	1
1133	201	4909	1227	1
1134	125	3303	718	1
1135	11	402	552	2
1136	547	2727	872	1
1137	101	1557	689	1
1138	276	4709	1204	2
1139	854	9059	1505	1
1140	334	6565	1335	1
1141	929	8	283	4
1142	328	4286	942	2
1143	815	5522	1230	1
1144	692	1093	362	1
1145	304	3733	1028	1
1146	289	14	1329	1
1147	85	6321	826	2
1148	209	3	1291	2
1149	715	1505	369	2
1150	779	181	1567	1
1151	837	1116	289	2
1152	461	3039	780	2
1153	324	4139	988	1
1154	99	2272	1181	2
1155	18	1575	678	1
1156	309	1886	527	1
1157	122	1746	687	1
1158	424	4189	841	2
1159	7	3992	1248	1
1160	428	1140	414	1
1161	720	2307	618	1
1162	567	7770	1150	1
1163	212	3011	904	2
1164	276	6582	1596	1
1165	125	4419	958	2
1166	182	1886	542	1
1167	347	4179	688	2
1168	11	1545	483	2
1169	462	1708	587	2
1170	937	5482	1061	1
1171	293	3593	1044	2
1172	11	2036	585	1
1173	904	1746	349	1
1174	918	3542	957	2
1175	663	432	1051	1
1176	64	3417	881	1
1177	356	33	554	1
1178	563	1017	294	2
1179	289	3045	1114	1
1180	230	3376	854	2
1181	271	4837	1148	2
1182	12	4195	1024	2
1183	598	6	261	1
1184	796	4436	1123	2
1185	85	2505	732	2
1186	5	1980	415	1
1187	407	4159	1099	1
1188	16	3686	1141	1
1189	795	3137	1063	1
1190	266	2808	550	1
1191	820	5121	1424	1
1192	122	3543	833	2
1193	918	4454	1143	1
1194	359	4554	1041	1
1195	752	8604	1729	1
1196	932	4887	991	1
1197	295	536	251	2
1198	810	2690	1107	3
1199	438	5479	1290	1
1200	36	1165	434	2
1201	95	6242	1699	1
1202	795	2567	773	1
1203	959	2741	858	1
1204	783	175	1622	1
1205	438	5443	1242	1
1206	813	3483	893	1
1207	30	2911	688	1
1208	754	4283	1182	1
1209	752	1750	557	3
1210	22	4336	909	1
