estacion	hora	total
Jujuy	5	543
Jujuy	6	3257
Jujuy	7	7323
Jujuy	8	13741
Jujuy	9	11302
Jujuy	10	9060
Jujuy	11	8774
Jujuy	12	9131
Jujuy	13	9239
Jujuy	14	8569
Jujuy	15	8254
Jujuy	16	8923
Jujuy	17	9005
Jujuy	18	8265
Jujuy	19	5902
Jujuy	20	5177
Jujuy	21	3737
Jujuy	22	2308
Jujuy	23	365
Juramento	1	1
Juramento	2	0
Juramento	3	0
Juramento	5	1464
Juramento	6	11397
Juramento	7	36930
Juramento	8	63707
Juramento	9	53950
Juramento	10	41540
Juramento	11	42006
Juramento	12	45713
Juramento	13	46869
Juramento	14	45717
Juramento	15	47937
Juramento	16	52897
Juramento	17	58454
Juramento	18	65077
Juramento	19	50057
Juramento	20	47479
Juramento	21	26827
Juramento	22	10786
Juramento	23	545
Las Heras	0	1
Las Heras	4	0
Las Heras	5	844
Las Heras	6	4702
Las Heras	7	14215
Las Heras	8	23983
Las Heras	9	24364
Las Heras	10	21784
Las Heras	11	23882
Las Heras	12	29445
Las Heras	13	30095
Las Heras	14	33576
Las Heras	15	36572
Las Heras	16	44739
Las Heras	17	50269
Las Heras	18	48587
Las Heras	19	39762
Las Heras	20	36777
Las Heras	21	25210
Las Heras	22	15296
Las Heras	23	2897
Lavalle	0	2
Lavalle	1	1
Lavalle	4	0
Lavalle	5	764
Lavalle	6	3635
Lavalle	7	5840
Lavalle	8	7725
Lavalle	9	8484
Lavalle	10	12213
Lavalle	11	16061
Lavalle	12	19837
Lavalle	13	23564
Lavalle	14	30022
Lavalle	15	39630
Lavalle	16	47203
Lavalle	17	62393
Lavalle	18	67679
Lavalle	19	37871
Lavalle	20	25289
Lavalle	21	17744
Lavalle	22	5757
Lavalle	23	632
Leandro N. Alem	0	0
Leandro N. Alem	1	0
Leandro N. Alem	2	0
Leandro N. Alem	3	0
Leandro N. Alem	4	0
Leandro N. Alem	5	7312
Leandro N. Alem	6	28720
Leandro N. Alem	7	48696
Leandro N. Alem	8	50167
Leandro N. Alem	9	43758
Leandro N. Alem	10	37756
Leandro N. Alem	11	43426
Leandro N. Alem	12	53642
Leandro N. Alem	13	62042
Leandro N. Alem	14	63817
Leandro N. Alem	15	73348
Leandro N. Alem	16	95575
Leandro N. Alem	17	176760
Leandro N. Alem	18	195053
Leandro N. Alem	19	86504
Leandro N. Alem	20	50677
Leandro N. Alem	21	28588
Leandro N. Alem	22	14403
Leandro N. Alem	23	2840
Lima	0	1
Lima	4	0
Lima	5	796
Lima	6	4660
Lima	7	9272
Lima	8	12069
Lima	9	13383
Lima	10	16602
Lima	11	18154
Lima	12	21642
Lima	13	23457
Lima	14	24589
Lima	15	27363
Lima	16	31376
Lima	17	38609
Lima	18	41189
Lima	19	21191
Lima	20	15418
Lima	21	9885
Lima	22	5372
Lima	23	1100
Loria	0	3
Loria	1	0
Loria	2	0
Loria	5	1084
Loria	6	6950
Loria	7	16183
Loria	8	23096
Loria	9	25401
Loria	10	23313
Loria	11	23452
Loria	12	23997
Loria	13	23552
Loria	14	22389
Loria	15	21747
Loria	16	23100
Loria	17	24012
Loria	18	22835
Loria	19	17555
Loria	20	14643
Loria	21	10940
Loria	22	5291
Loria	23	804
Los Incas	0	0
Los Incas	1	0
Los Incas	2	0
Los Incas	4	2
Los Incas	5	1805
Los Incas	6	13370
Los Incas	7	40534
Los Incas	8	66481
Los Incas	9	50943
Los Incas	10	33948
Los Incas	11	28934
Los Incas	12	26825
Los Incas	13	25726
Los Incas	14	23647
Los Incas	15	22222
Los Incas	16	24565
Los Incas	17	28447
Los Incas	18	26820
Los Incas	19	17766
Los Incas	20	13656
Los Incas	21	8992
Los Incas	22	4676
Los Incas	23	256
Malabia	0	1
Malabia	1	0
Malabia	5	2069
Malabia	6	15095
Malabia	7	55258
Malabia	8	88855
Malabia	9	84279
Malabia	10	57258
Malabia	11	51363
Malabia	12	53449
Malabia	13	52195
Malabia	14	46829
Malabia	15	44964
Malabia	16	47127
Malabia	17	49559
Malabia	18	57287
Malabia	19	38674
Malabia	20	33015
Malabia	21	19182
Malabia	22	9896
Malabia	23	1091
Mariano Moreno	0	0
Mariano Moreno	1	3
Mariano Moreno	2	0
Mariano Moreno	3	0
Mariano Moreno	5	669
Mariano Moreno	6	3219
Mariano Moreno	7	5764
Mariano Moreno	8	8585
Mariano Moreno	9	10749
Mariano Moreno	10	14054
Mariano Moreno	11	16548
Mariano Moreno	12	20100
Mariano Moreno	13	20637
Mariano Moreno	14	23632
Mariano Moreno	15	26193
Mariano Moreno	16	31053
Mariano Moreno	17	42272
Mariano Moreno	18	42592
Mariano Moreno	19	19942
Mariano Moreno	20	12917
Mariano Moreno	21	5614
Mariano Moreno	22	2293
Mariano Moreno	23	311
Medalla Milagrosa	0	0
Medalla Milagrosa	5	286
Medalla Milagrosa	6	2179
Medalla Milagrosa	7	6790
Medalla Milagrosa	8	11808
Medalla Milagrosa	9	8406
Medalla Milagrosa	10	5325
Medalla Milagrosa	11	4201
Medalla Milagrosa	12	4359
Medalla Milagrosa	13	4146
Medalla Milagrosa	14	3697
Medalla Milagrosa	15	3625
Medalla Milagrosa	16	3740
Medalla Milagrosa	17	3476
Medalla Milagrosa	18	3309
Medalla Milagrosa	19	2656
Medalla Milagrosa	20	2248
Medalla Milagrosa	21	1398
Medalla Milagrosa	22	563
Medalla Milagrosa	23	23
Medrano	0	5
Medrano	2	0
Medrano	4	0
Medrano	5	1847
Medrano	6	11826
Medrano	7	37061
Medrano	8	58528
Medrano	9	59253
Medrano	10	48897
Medrano	11	46738
Medrano	12	46677
Medrano	13	44237
Medrano	14	43719
Medrano	15	43154
Medrano	16	43708
Medrano	17	47433
Medrano	18	46606
Medrano	19	36478
Medrano	20	31652
Medrano	21	23744
Medrano	22	11499
Medrano	23	1202
Ministro Carranza	0	3
Ministro Carranza	4	0
Ministro Carranza	5	1216
Ministro Carranza	6	10898
Ministro Carranza	7	32835
Ministro Carranza	8	53757
Ministro Carranza	9	52333
Ministro Carranza	10	37156
Ministro Carranza	11	33681
Ministro Carranza	12	34764
Ministro Carranza	13	35017
Ministro Carranza	14	30363
Ministro Carranza	15	29300
Ministro Carranza	16	31597
Ministro Carranza	17	38893
Ministro Carranza	18	43228
Ministro Carranza	19	27096
Ministro Carranza	20	19411
Ministro Carranza	21	12977
Ministro Carranza	22	5824
Ministro Carranza	23	623
Olleros	0	3
Olleros	1	0
Olleros	4	1
Olleros	5	957
Olleros	6	7976
Olleros	7	28818
Olleros	8	51853
Olleros	9	47014
Olleros	10	36405
Olleros	11	34230
Olleros	12	35125
Olleros	13	35521
Olleros	14	34315
Olleros	15	34016
Olleros	16	37586
Olleros	17	41284
Olleros	18	43066
Olleros	19	30321
Olleros	20	28032
Olleros	21	15405
Olleros	22	7662
Olleros	23	448
Once	0	7
Once	1	0
Once	2	0
Once	4	0
Once	5	3351
Once	6	21198
