posicion	jugador	club	puntos	categoria
2842	Rosen, Gustavo                     	La Legión TDM                 	533	7
2843	Coria, Walter O.                   	Estacion Ping Pong            	533	7
2844	Tomasello, Juan S.                 	Def. Santos Lugares           	533	7
2845	Garrone, Constanza                 	Libre                         	533	7
2846	Marini, Eduardo                    	Ferrocarril Oeste             	533	7
2847	Grunwaldt, Pablo                   	San Lorenzo                   	532	7
2848	Nishihigahara, Gustavo             	Def. Santos Lugares           	531	7
2849	Troncoso, Alejandro                	Estacion Ping Pong            	531	7
2850	Caamaño, Ignacio                   	Estacion Ping Pong            	531	7
2851	Matsuda, Axel                      	Nikkei TDM                    	531	7
2852	Pustelnik, Jose Luis               	Def. Santos Lugares           	530	7
2853	Shahmuradyan, Mariam               	La Legión TDM                 	530	7
2854	Cuenca, Roy                        	Inst. Compañía María          	530	7
2855	Soñora, Hernan                     	La Reja                       	528	7
2856	Lopez, Walter                      	Social Club TDM               	528	7
2857	Taago Maehira, Tobias N.           	Nichia Gakuin                 	528	7
2858	Monteforte, Nicolas A.             	Ntra. Señora Lourdes          	528	7
2859	Alguacil, Cristian                 	Libre                         	527	7
2860	Masedra, Alejandro                 	Estacion Ping Pong            	527	7
2861	Kovasic, Diego                     	La Legión TDM                 	526	7
2862	Leonhard, Fernando                 	Social Club TDM               	526	7
2863	Martinez, Walter                   	CEDIMA                        	525	7
2864	Verona, Mariano                    	Ateneo de Versailles          	525	7
2865	Ortega, Matias                     	CEDIMA                        	525	7
2866	Briones, Federico                  	Fenix                         	525	7
2867	Mendoza, Franco                    	Garin Tenis de Mesa           	525	7
2868	Cabezas, Rodrigo                   	Intendente Agüero             	525	7
2869	Tommasi ,Joaquin                   	Intendente Agüero             	525	7
2870	Diaz, Gabriel                      	La Legión TDM                 	525	7
2871	Dorado Garcia, Alan Yael           	La Legión TDM                 	525	7
2872	Sequeira, Maximiliano              	TMR                           	525	7
2873	Loiseau Buchele, Amarinda          	TMR                           	525	7
2874	Gomez Kiss, Roman                  	TMR                           	525	7
2875	Erlich, Thiago                     	Villa Sahores                 	525	7
2876	Caracciolo, Fernando (F)           	Rioja                         	525	7
2877	Carlos, Franco                     	Urquiza                       	524	7
2878	De Rovere, Leandro                 	Urquiza                       	524	7
2879	Siderio, Alejandro                 	Top Minc                      	524	7
2880	Garcia, Juan Manuel                	Yupanqui                      	524	7
2881	Ditzel, Trinidad                   	Oeste TDM Catán               	524	7
2882	Peralta, Sebastian                 	Fenix                         	524	7
2883	Lerman, Fernando                   	Fenix                         	524	7
2884	Bale, Leandro                      	Fenix                         	524	7
2885	Crisanti, Francesco                	Nichia Gakuin                 	524	7
2886	Mac Dougall, Lautaro               	Nichia Gakuin                 	524	7
2887	Gonzalez, Javier P                 	Nichia Gakuin                 	524	7
2888	Perelstein, Tomas                  	Top Minc                      	524	7
2889	Dorfman, Damian                    	Libre                         	524	7
2890	Presas, Alfredo                    	Peretz                        	524	7
2891	Ferrari, Alberto                   	Peretz                        	524	7
2892	Maeto, Sinei                       	Peretz                        	524	7
2893	Vizgarra, Gustavo                  	Peretz                        	524	7
2894	Hernandez, Mariano                 	Peretz                        	524	7
2895	Hernandez, Andres                  	Peretz                        	524	7
2896	Vizgarra, Lucas                    	Peretz                        	524	7
2897	Poncini, Claudio                   	Peretz                        	524	7
2898	Baez, Veronica                     	Peretz                        	524	7
2899	Villavicencio, Hernan              	La Patriada                   	524	7
2900	Higa, Luisa                        	La Patriada                   	524	7
2901	Freytes, Esteban                   	Libre                         	524	7
2902	Caro Langwagen, Fabrizio           	Urquiza                       	524	7
2903	Bonnin, Marta Beatriz              	Peretz                        	524	7
2904	Buquete, Lautaro                   	Top Minc                      	524	7
2905	Gomez, Raul Ariel                  	Nichia Gakuin                 	524	7
2906	Poli, Canela                       	Fenix                         	524	7
2907	Markowickz Almao Sira, Edgardo     	Nichia Gakuin                 	524	7
2908	Rama, Marcela                      	Top Minc                      	524	7
2909	Sorroza, Gabriela                  	Top Minc                      	524	7
2910	Guzmán Dorado, Jessica Briyitt     	Nichia Gakuin                 	524	7
2911	Gil, Eva Mariana                   	Nichia Gakuin                 	524	7
2912	Wu, Marcos                         	Nichia Gakuin                 	524	7
2913	Wu, Luciana                        	Nichia Gakuin                 	524	7
2914	Poncio, Mariana M.                 	Padilla                       	524	7
2915	Aufiero, Santiago                  	Padilla                       	524	7
2916	Sztrum, José                       	La Legión TDM                 	523	7
2917	Onofri, Gustavo A                  	Soc. Fomento CAVA             	523	7
2918	Gonzalez, Hector                   	Oeste TDM Catán               	523	7
2919	Agostinelli, Marcos                	La Reja                       	523	7
2920	Aranda, Santiago                   	Libre                         	523	7
2921	Tortella, Gabriel A.               	Fenix                         	523	7
2922	Yakes Heredia, Emma                	Obras Sanitarias              	523	7
2923	Gonzalez Castro, Daniel            	MTMs                          	522	7
2924	Miranda, Milagros                  	La Huella                     	522	7
2925	Andrade, Facundo                   	San Lorenzo                   	522	7
2926	Okuyama, Matias                    	Peretz                        	521	7
2927	Esposito, Sebastian                	Vito Dumas TdM                	521	7
2928	Yamamoto, Isao Dante               	CTDM Pato Nizetich            	521	7
2929	Valanci, Leticia                   	La Legión TDM                 	520	7
2930	Czarny, Lucas                      	Atlanta                       	520	7
2931	Rojas, Mauricio                    	U.V.V.A.                      	520	7
2932	Pipkin, Damian                     	Atlanta                       	520	7
2933	Sabater, Sebastian                 	Fenix                         	519	7
2934	Camarero, Ludmila                  	Def. Santos Lugares           	519	7
2935	Schildknecht, Fernando             	Padilla                       	517	7
2936	Yamaguchi, Patricia                	Peñarol                       	517	7
2937	Pascual, Facundo                   	Padilla                       	517	7
2938	Mancebo, Genaro Nahuel             	Vito Dumas TdM                	517	7
2939	Graciano, Claudio                  	Peñarol                       	516	7
2940	Tula, Lucas                        	Peñarol                       	515	7
2941	Selmi, Leonardo                    	Urquiza                       	515	7
2942	Negreti, Héctor                    	U.V.V.A.                      	513	7
2943	Palma, Mailen                      	Nikkei TDM                    	513	7
2944	Tejero, Walter A                   	U.V.V.A.                      	513	7
2945	Nesis, Manuel                      	Atlanta                       	513	7
2946	Silva, Morena                      	La Legión TDM                 	513	7
2947	Iglesias, Juan Jose                	CTDM Pato Nizetich            	513	7
2948	Guillemete, Santiago               	Vito Dumas TdM                	512	7
2949	Vargas, Bruno                      	Libre                         	512	7
2950	Burlone, Patricio                  	Libre                         	512	7
2951	Osquiguil, Lucas                   	La Legión TDM                 	512	7
2952	Rugel, Jose Antonio                	River Plate                   	512	7
2953	Gil Baez, Rodrigo                  	Fenix                         	511	7
2954	Bordenave, Carlos                  	Nikkei TDM                    	511	7
2955	Perez, Miguel                      	Libre                         	510	7
2956	Violante Gimenez, Franco           	Ferrocarril Oeste             	510	7
2957	Garcia, Pablo Alejandro            	Adrogue Sith Spin             	510	7
2958	Marti, Bautista                    	Gimnasty                      	510	7
2959	Ricchezza, Sergio                  	Peñarol                       	510	7
2960	Galuzzi, Franco A                  	Ferrocarril Oeste             	509	7
2961	Salcedo, Leonardo                  	San Lorenzo                   	509	7
2962	Vargas, Joel                       	Libre                         	508	7
2963	Ricchezza, Brian                   	Peñarol                       	508	7
2964	Bidegain, Rafael                   	Libre                         	507	7
2965	Perez, Hernan J.                   	U.V.V.A.                      	507	7
2966	Acuña, Nicolas                     	Peretz                        	506	7
2967	Bellande, Monserrat                	Nichia Gakuin                 	506	7
2968	Perlov, Lucas                      	Sociedad Hebraica             	506	7
2969	Paiz Belforte, Facundo             	Inst. Compañía María          	505	7
2970	Roccatagliata, Lautaro             	CEDIMA                        	505	7
2971	Capurro, Juan                      	Vito Dumas TdM                	504	7
2972	Burman, Ariel                      	La Legión TDM                 	504	7
2973	Unterkircher, Alexandre            	La Legión TDM                 	504	7
2974	Mendez, Nelson                     	CEDIMA                        	504	7
2975	Campos, Florencia Sol              	La Legión TDM                 	503	7
2976	Morales, Agustin                   	Fenix                         	502	7
2977	Valentini, Valentino               	Circulo Campano               	502	7
2978	Robinsohn, Hilario                 	Inst. Compañía María          	502	7
2979	Kuell, Nayla                       	CEDIMA                        	501	7
2980	Pegolo, Aylen                      	La Reja                       	501	7
2981	Saporiti, Augusto J.               	Urquiza                       	501	7
2982	Mieli, Julian                      	TMR                           	501	7
2983	Ramirez, Edgardo                   	Libertad                      	500	7
2984	Zetune, Leonel                     	Macabi                        	500	7
2985	Diz, Jorge Alejandro               	Libre                         	500	7
2986	Enriquez, Ricardo                  	Libre                         	500	7
2987	Luna, Diego                        	Libre                         	500	7
2988	Turnes, Guillermo                  	Libre                         	500	7
2989	Reyes, Gabriel                     	Libre                         	500	7
2990	Ramirez, Pablo                     	Libre                         	500	7
2991	Kopuchian, Carolina                	UGAB                          	500	7
2992	Ustariz, Gustavo                   	Alvear Club                   	500	7
2993	Galante, Javier                    	Ateneo de Versailles          	500	7
2994	Estigarribia, Víctor               	Ateneo de Versailles          	500	7
2995	Bertodato, Pablo Adrián            	Ateneo de Versailles          	500	7
2996	Yoshida, Leslie                    	Atlanta                       	500	7
2997	Gomel, Liora                       	Atlanta                       	500	7
2998	Kuitca, Rony Ezequiel              	Atlanta                       	500	7
2999	Reisenman, Marcos Daniel           	Atlanta                       	500	7
3000	Reisenman, Brenda Cindy            	Atlanta                       	500	7
3001	Raichijk, Daniel Lázaro            	Atlanta                       	500	7
3002	Daicz, Laura                       	Atlanta                       	500	7
3003	Horrisberger, Oscar                	Atlanta                       	500	7
3004	Carro, Juan Carlos                 	Atlanta                       	500	7
3005	Sacramento, Roberto Luis           	Atlanta                       	500	7
3006	Ledesma, Julián                    	Yupanqui                      	500	7
3007	Martino, Mateo                     	La Legión TDM                 	500	7
3008	Birembaum, Simon                   	Nikkei TDM                    	500	7
3009	Birembaum, Felipe                  	Nikkei TDM                    	500	7
3010	Ponce, Guillermo                   	Nikkei TDM                    	500	7
3011	Rojas, Hugo                        	U.V.V.A.                      	500	7
3012	Ruggieri, Juan                     	Nikkei TDM                    	500	7
3013	Arilla, Guido                      	Nikkei TDM                    	500	7
3014	Garcia, Rodrigo                    	Nikkei TDM                    	500	7
3015	Socolovsky, Alexis                 	La Legión TDM                 	500	7
3016	Sierra, Matias Juan                	Ateneo de Versailles          	500	7
3017	Cerdeira, Hernan                   	Ateneo de Versailles          	500	7
3018	Trufelman, Walter Javier           	Ateneo de Versailles          	500	7
3019	Castro, Hernan Martin              	Ateneo de Versailles          	500	7
3020	Bonarrigo, Marcelo Leandro         	Ateneo de Versailles          	500	7
3021	Portesani, Raul Marcos             	Ateneo de Versailles          	500	7
3022	Karelitz, Ivan                     	Ateneo de Versailles          	500	7
3023	Slucki, Alejo Daniel               	Atlanta                       	500	7
3024	Lopez Molina, Diego Enrique        	Atlanta                       	500	7
3025	Gonzalez, Flavio Patricio          	Atlanta                       	500	7
3026	Mastroleo, Ignacio                 	Atlanta                       	500	7
3027	Faivovich, Julian                  	Atlanta                       	500	7
3028	Toscano, Mario Miguel              	Atlanta                       	500	7
3029	Steiman, Heriberto Benjamin        	Atlanta                       	500	7
3030	Dayan, Lucas                       	Atlanta                       	500	7
3031	Gameroff, Santiago                 	Atlanta                       	500	7
3032	Fefer, Sergio Alejandro            	Atlanta                       	500	7
3033	Sesia, Omar Armando                	Atlanta                       	500	7
3034	Merkier, Ioel                      	Atlanta                       	500	7
3035	Constenla, Juan Carlos             	Ateneo de Versailles          	500	7
3036	Campilongo, Nicolas                	Yupanqui                      	500	7
3037	Merlo, Gaston                      	La Legión TDM                 	500	7
3038	Lusin, Emiliano                    	La Legión TDM                 	500	7
3039	Aisenberg, Hernan                  	La Legión TDM                 	500	7
3040	Salcedo, Elvis                     	La Legión TDM                 	500	7
3041	Fernandez Costen, Javier           	La Legión TDM                 	500	7
3042	Papadopulos, Kevin F               	Ateneo de Versailles          	500	7
3043	Belter, Jose Luis                  	Ateneo de Versailles          	500	7
3044	Calabrese, Damian                  	Atlanta                       	500	7
3045	Zolldan, Pablo                     	Soc. Fomento CAVA             	500	7
3046	Lucci, Pablo G.                    	Soc. Fomento CAVA             	500	7
3047	Peñate, Geronimo                   	Tigre TDM                     	500	7
3048	Gonzalez, Facundo                  	Tigre TDM                     	500	7
3049	Ledesma, Nicolas                   	Tigre TDM                     	500	7
3050	Montes, Uriel                      	Tigre TDM                     	500	7
3051	Vignolo, Lucio                     	Tigre TDM                     	500	7
3052	Martinez, Alejandro                	Tigre TDM                     	500	7
3053	Raldolky, Rosa K.                  	Atlanta                       	500	7
3054	Guardia, Juan                      	CEDIMA                        	500	7
3055	De la Cruz, Leandro                	CEDIMA                        	500	7
3056	Lucero, Leonel                     	C.A.S.A. de Padua             	500	7
3057	Vega Castro, Jhonny                	C.A.S.A. de Padua             	500	7
3058	Mellado, Ricardo                   	Oeste TDM Catán               	500	7
3059	Peyrano, Ezequiel                  	Oeste TDM Catán               	500	7
3060	Benitez, Brian                     	Oeste TDM Catán               	500	7
3061	Diaz, Cristian                     	Oeste TDM Catán               	500	7
3062	Lamm, Esteban                      	Inst. Compañía María          	500	7
3063	Lombardo, Mario                    	Libertad                      	500	7
3064	Ding, Kevin                        	Obras Sanitarias              	500	7
3065	Ganbotti, Leonardo                 	Nikkei TDM                    	500	7
3066	Herrera, Mariano                   	La Legión TDM                 	500	7
3067	Fisher, Brian                      	Garin Tenis de Mesa           	500	7
3068	Spadoni, Federico                  	Garin Tenis de Mesa           	500	7
3069	Avendaño, Guillermo                	Ateneo de Versailles          	500	7
3070	Ruiz, Aquiles N                    	Gimnasty                      	500	7
3071	Fadel, Marcos                      	Garin Tenis de Mesa           	500	7
3072	Latini, Carlos                     	Libre                         	500	7
3073	Moreno, Simon                      	Nichia Gakuin                 	500	7
3074	Hikari Biorci, Sebastian           	Nichia Gakuin                 	500	7
3075	Murdocca, Nicolas A                	Soc. Fomento CAVA             	500	7
3076	Rodriguez, Carlos L                	Ntra. Señora Lourdes          	500	7
3077	Goldberg, Facundo                  	Macabi                        	500	7
3078	Avendaño, Alexis U                 	Ateneo de Versailles          	500	7
3079	Almanza, Jorge H                   	Ateneo de Versailles          	500	7
3080	Vazquez, Florencia                 	La Huella                     	500	7
3081	Bolaño, Franco                     	La Huella                     	500	7
3082	Rodriguez, Nicolas                 	La Huella                     	500	7
3083	Fontenla, Andres E                 	Ateneo de Versailles          	500	7
3084	Colman, Miguel Alberto             	Padilla                       	500	7
3085	Esmerian, Ezequiel                 	Padilla                       	500	7
3086	Monte, Sebastian A                 	Rioja                         	500	7
3087	Suau, Miguel                       	Oeste TDM Catán               	500	7
3088	Jara, Alexis                       	Oeste TDM Catán               	500	7
3089	Silva, Facundo                     	Libre                         	500	7
3090	Lerner, Ariel                      	Macabi                        	500	7
3091	Levin, Valeria                     	Macabi                        	500	7
3092	Dellisola, Lautaro                 	Zenit                         	500	7
3093	Hernandez, Alexis                  	Peretz                        	500	7
3094	Yañez, Nahuel                      	La Reja                       	500	7
3095	Elsztain, Alejandro                	Libre                         	500	7
3096	Rubin, Fernando S                  	Libre                         	500	7
3097	Czarny, Natalio                    	Libre                         	500	7
3098	Kusneras, Silvina                  	Libre                         	500	7
3099	Rogovsky, Liliana                  	Sociedad Hebraica             	500	7
3100	Gyukits, Ignacio                   	Peñarol                       	500	7
3101	Cabaña, Lucas                      	Libre                         	500	7
3102	Jamilis, Netanel                   	Libre                         	500	7
3103	Taddeo, Pablo                      	Libre                         	500	7
3104	Palomeque, Mario                   	La Legión TDM                 	500	7
3105	Acosta, Marcelo                    	Oeste TDM Catán               	500	7
3106	Idiarte, Mirta N.                  	La Legión TDM                 	500	7
3107	Brith Castellan, Santiago          	Zenit                         	500	7
3108	Cruz, Roberto                      	Zenit                         	500	7
3109	Czaban, Basilio                    	Zenit                         	500	7
3110	Depino, Omar                       	Zenit                         	500	7
3111	Halblaub, Braian                   	Zenit                         	500	7
3112	Lacoa, Esteban                     	Zenit                         	500	7
3113	Lopez, Sergio                      	Zenit                         	500	7
3114	Ruiz, Sergio                       	Zenit                         	500	7
3115	Ghiazza, Andres                    	La Legión TDM                 	500	7
3116	Tamaki, Eduardo                    	Garin Tenis de Mesa           	500	7
3117	Paredes, Joaquin E.                	San Lorenzo                   	500	7
3118	Jakiszczyk, Adrian R.              	Rioja                         	500	7
3119	Agote Robertson, Ignacio           	Tigre TDM                     	500	7
3120	Saire, Daniel R.                   	Atlanta                       	500	7
3121	Lucuix, Joaquin                    	Atlanta                       	500	7
3122	Wildau, Erika A.                   	Atlanta                       	500	7
3123	Mollo, Martiniano                  	Atlanta                       	500	7
3124	Catalano, Luciano F.               	Atlanta                       	500	7
3125	Artus, Andrea N.                   	Atlanta                       	500	7
3126	Teicher, Ariel                     	Atlanta                       	500	7
3127	Vega Tabachnik, Caetano            	Atlanta                       	500	7
3128	Seoane, Juan Carlos                	Ateneo de Versailles          	500	7
3129	Gasparini, Miguel Angel            	Ateneo de Versailles          	500	7
3130	Jamani, Moises D.                  	Ateneo de Versailles          	500	7
3131	Spighich, Agustin T.               	Ateneo de Versailles          	500	7
3132	Silva, Jorge E.                    	Ateneo de Versailles          	500	7
3133	Guerreiro, Lucas G.                	Ateneo de Versailles          	500	7
3134	Matarrese, Franco                  	Ateneo de Versailles          	500	7
3135	Fantini, Nicolas M.                	Ateneo de Versailles          	500	7
3136	Lima, Sergio                       	Cedem nº 2                    	500	7
3137	Basma, Candela                     	CEDIMA                        	500	7
3138	Feser, Franco N.                   	Padilla                       	500	7
3139	Takata, Boris Hiroya               	Alvear Club                   	500	7
3140	Lujan Gazia, Agustin               	Inst. Compañía María          	500	7
3141	Cayetá, Daniela                    	La Huella                     	500	7
3142	Echandi, Iara                      	La Huella                     	500	7
3143	Lepez, Martina                     	La Huella                     	500	7
3144	Rueda, Julieta                     	La Huella                     	500	7
3145	Serrano, Abril                     	La Huella                     	500	7
3146	Diaz, Abril                        	La Huella                     	500	7
3147	Parodi, Damian                     	La Huella                     	500	7
3148	Jimenez, Priscila                  	La Huella                     	500	7
3149	Santa Cruz, Lujan                  	La Huella                     	500	7
3150	Nakagama, Aline Yukie              	CTDM Pato Nizetich            	500	7
3151	Celaya Llamosas, Camilo            	Villa Sahores                 	500	7
3152	Rust, Fabrizio                     	Villa Sahores                 	500	7
3153	Ibarra, Brenda                     	Villa Sahores                 	500	7
3154	Wu, Olimpio                        	Nichia Gakuin                 	500	7
3155	Ophir, Amitai A.                   	Atlanta                       	500	7
3156	Joab, Ernesto                      	U.V.V.A.                      	500	7
3157	Benenati, Lucas                    	Zenit                         	500	7
3158	De Sancho, Diego                   	Zenit                         	500	7
3159	Amarilla, Norberto J.              	Libre                         	500	7
3160	Fraga, Valentino B.                	Top Minc                      	500	7
3161	Basso, Santiago                    	Gimnasty                      	500	7
3162	D'Annunzio, Valentino              	CTDM Pato Nizetich            	500	7
3163	D'Annunzio, Alejo                  	CTDM Pato Nizetich            	500	7
3164	Rojas, Milagro Nicol               	Social Club TDM               	500	7
3165	Acuña, Hugo A.                     	Social Club TDM               	500	7
3166	Georgiades, John A.                	San Lorenzo                   	500	7
3167	Fernandez, Daniel E.               	San Lorenzo                   	500	7
3168	Equiza, Myriam                     	Def. Santos Lugares           	500	7
3169	Castiglioni, Ariel                 	Ateneo de Versailles          	500	7
3170	Zelazny, Federico                  	Ateneo de Versailles          	500	7
3171	Banegaz ,Thiago                    	Ateneo de Versailles          	500	7
3172	Vega, Nicolás                      	Ateneo de Versailles          	500	7
3173	Telao Guerreros, Lucas             	Ateneo de Versailles          	500	7
3174	Sancha, Alejandro                  	Ateneo de Versailles          	500	7
3175	Weckesser, Diego                   	Ateneo de Versailles          	500	7
3176	Gonzalez, Jonathan                 	Social Club TDM               	500	7
3177	Argüelles, Álvaro Ricard           	Atlanta                       	500	7
3178	Hochman, Gustavo                   	Atlanta                       	500	7
3179	Suarez Battan, Juan                	Atlanta                       	500	7
3180	Bellomi, Joaquin                   	CEDIMA                        	500	7
3181	Luna, Leonardo                     	CEDIMA                        	500	7
3182	Mon, Gonzalo                       	Fenix                         	500	7
3183	Heuchert, Iván                     	Fenix                         	500	7
3184	Dominguez, Elias                   	Garin Tenis de Mesa           	500	7
3185	Mansilla, Gaston                   	Garin Tenis de Mesa           	500	7
3186	Dalessandro, Franco                	Garin Tenis de Mesa           	500	7
3187	Larraburu, Sebastián               	Intendente Agüero             	500	7
3188	Parodi, Leonardo                   	La Huella                     	500	7
3189	Fernandez Bueno, Emilio            	Libre                         	500	7
3190	Djemdjemian, Ariel                 	Peñarol                       	500	7
3191	Grillo, Alejandro                  	Peñarol                       	500	7
3192	Varela, Mariano                    	Peñarol                       	500	7
3193	Boraso, Juan Pablo                 	Tigre TDM                     	500	7
3194	Bortoni, Melanie                   	Tigre TDM                     	500	7
3195	Andrada, Patricia Beat             	Tigre TDM                     	500	7
3196	Fafian, Santino                    	TMR                           	500	7
3197	Loiseau, Marcelo                   	TMR                           	500	7
3198	Frol, Esteban                      	TMR                           	500	7
3199	Gonzalez, Daniel                   	Oeste TDM Catán               	500	7
3200	Waldhuter, Gabriel                 	Estacion Ping Pong            	500	7
3201	Baez, Federico                     	Tigre TDM                     	500	7
3202	Blaustein, Sebastian               	Sociedad Hebraica             	500	7
3203	Israelit, Diego                    	Sociedad Hebraica             	500	7
3204	Feldman, Damian                    	Sociedad Hebraica             	500	7
3205	Davidovich, Hernan                 	Sociedad Hebraica             	500	7
3206	Tavil, Cecilia                     	Sociedad Hebraica             	500	7
3207	Lochbaum, Federico                 	UNQ Tenis de Mesa             	500	7
3208	Riveros, Sabrina                   	UNQ Tenis de Mesa             	500	7
3209	Martinez, Julieta                  	UNQ Tenis de Mesa             	500	7
3210	Lamdam Ordas, Humberto             	UNQ Tenis de Mesa             	500	7
3211	Corra Nassar, Shadia               	UNQ Tenis de Mesa             	500	7
3212	Veron, Gonzalo                     	Def. Santos Lugares           	500	7
3213	Heinze, Tomas                      	Def. Santos Lugares           	500	7
3214	Machado Pacheco, Carla             	Def. Santos Lugares           	500	7
3215	Bonini, Roman                      	C.A.S.A. de Padua             	500	7
3216	Marana, Mauricio                   	C.A.S.A. de Padua             	500	7
3217	Suarez Sosa, Diego                 	La Legión TDM                 	500	7
3218	Perez, Mario A.                    	Ntra. Señora Lourdes          	500	7
3219	Coronel, Tiara D.                  	Ntra. Señora Lourdes          	500	7
3220	Palavecino, Ximena                 	Padilla                       	500	7
3221	Teijeiro, Christian                	C.A.S.A. de Padua             	500	7
3222	Lerer Squarzon, Juan Ignacio       	Social Club TDM               	500	7
3223	Cagnones, Leonel                   	Social Club TDM               	500	7
3224	Pratone, Enzo                      	C.A.S.A. de Padua             	500	7
3225	Harari Nahen, Betina               	Sociedad Hebraica             	500	7
3226	Perlov, Mauricio                   	Sociedad Hebraica             	500	7
3227	Gallegos, Pablo                    	Social Club TDM               	500	7
3228	Mombru, Juan Pablo                 	Def. Santos Lugares           	500	7
3229	Capone Walfisch, Thiago            	Estacion Ping Pong            	500	7
3230	Gordon Stern, Mariela              	Social Club TDM               	500	7
3231	Lopez, Elian                       	La Reja                       	500	7
3232	Correa, Franco                     	La Reja                       	500	7
3233	Chanquia, Patricio                 	Padilla                       	500	7
3234	Silva Formento, Lautaro            	Estacion Ping Pong            	500	7
3235	Silva Formento, Franco             	Estacion Ping Pong            	500	7
3236	Siverino, Fernando                 	Urquiza                       	500	7
3237	Falcon, Francisco                  	Tigre TDM                     	500	7
3238	Molina, Juan Martin                	Fenix                         	500	7
3239	Buitron, Damian                    	C.A.S.A. de Padua             	500	7
3240	Higa, Diego                        	AsociacionYabrudense          	500	7
3241	Galarza, Ayelen B.                 	Vito Dumas TdM                	500	7
3242	Burgaña, Juan Marcos               	Vito Dumas TdM                	500	7
3243	Caputto, Gerardo O.                	Vito Dumas TdM                	500	7
3244	Pauletic, Gustavo D.               	Vito Dumas TdM                	500	7
3245	Brondolo, Pablo                    	San Lorenzo                   	500	7
3246	Lagoria, Carlos                    	AsociacionYabrudense          	500	7
3247	Bustos Huertas, Lucia              	Atlanta                       	500	7
3248	Vasallo, Nicolas                   	Atlanta                       	500	7
3249	Vinueza Lozada, Juan Jose          	Atlanta                       	500	7
3250	Agrelo Brito, Luis E.              	Atlanta                       	500	7
3251	Veliz, Jeremias N.                 	Atlanta                       	500	7
3252	Campodonico, Diego C.              	Atlanta                       	500	7
3253	Milano Patiño, Margareth           	Atlanta                       	500	7
3254	Tursi, Jose Luis                   	Atlanta                       	500	7
3255	Szwarc Winnik, Ezequiel            	Atlanta                       	500	7
3256	Basini, Dante                      	Atlanta                       	500	7
3257	Nacul, Nestor                      	Atlanta                       	500	7
3258	Sada, Martin N.                    	AsociacionYabrudense          	500	7
3259	Parodi, Gustavo                    	TMR                           	499	7
3260	Cohen, Ariel                       	Libre                         	499	7
3261	Miñones, Ramiro                    	Fenix                         	499	7
3262	Pages, Santiago                    	Libre                         	499	7
3263	Galarce, Lucas                     	Def. Santos Lugares           	498	7
3264	Lenhart, Jorge R                   	Rioja                         	498	7
3265	Maciel, Mariano                    	Oeste TDM Catán               	498	7
3266	Arakaki, Ezequiel                  	Peñarol                       	498	7
3267	Dolcet, Luciano D                  	Ntra. Señora Lourdes          	498	7
3268	Buchbinder, Carlos D.              	Libre                         	497	7
3269	Jarkowski, Ivan                    	Atlanta                       	497	7
3270	Coronel Lancellotti, Santiago      	Estacion Ping Pong            	497	7
3271	Soldi, Daniel M.                   	Gimnasty                      	497	7
3272	Taborda, Matías                    	Libre                         	496	7
3273	Lezcano, RIcardo J                 	Ateneo de Versailles          	496	7
3274	Diaz, Armando                      	La Legión TDM                 	496	7
3275	Ross, Carlos                       	Oeste TDM Catán               	496	7
3276	Poupat, Jose                       	San Lorenzo                   	495	7
3277	Roman, Gonzalo                     	Vito Dumas TdM                	495	7
3278	Hormeche, Adriana                  	La Legión TDM                 	494	7
3279	Orrego, Dylan                      	Rioja                         	494	7
3280	Korniansky, Shai                   	Libre                         	494	7
3281	De Bonis, Hernan                   	U.V.V.A.                      	494	7
3282	Espinosa Chila, Favio              	La Legión TDM                 	494	7
3283	Sanchez, Gustavo F.                	Vito Dumas TdM                	494	7
3284	Ramirez, Cristino A.               	Atlanta                       	494	7
3285	Laperie Buchbinder, Raquel         	Libre                         	494	7
3286	Berardi, Leon                      	Inst. Compañía María          	494	7
3287	Herrera, Juan Ignacio              	UNQ Tenis de Mesa             	493	7
3288	Bau, Franco Nahuel                 	Ferrocarril Oeste             	493	7
3289	Giovini, Juan                      	Tigre TDM                     	492	7
3290	Lindenboim Manera, Valentina       	Macabi                        	492	7
3291	Botros, Emanuel                    	Adrogue Sith Spin             	492	7
3292	Curak, Gaston                      	Atlanta                       	492	7
3293	Taborda, Luciano G.                	La Patriada                   	492	7
3294	Meisegeier, Damian                 	Ateneo de Versailles          	491	7
3295	Aidelman, Simon                    	Atlanta                       	491	7
3296	Bernardou Fellay, Sergio           	Ateneo de Versailles          	491	7
3297	Villarruel, Santiago               	Alvear Club                   	490	7
3298	Castiglioni, Tomas                 	Ateneo de Versailles          	490	7
3299	Neman, Veronica                    	AsociacionYabrudense          	490	7
3300	Rodriguez, Gaspar                  	Alvear Club                   	490	7
3301	Rojo, Diego G                      	Padilla                       	489	7
3302	Cisterna, Pedro                    	Libre                         	488	7
3303	Parodi, Cynthia                    	La Huella                     	488	7
3304	Marquis, Julian                    	Libre                         	487	7
3305	Castillo, Sebastian                	Tigre TDM                     	487	7
3306	Alvarez, Javier                    	La Legión TDM                 	487	7
3307	Fraga Irureta, Alejandro           	U.V.V.A.                      	487	7
3308	Marcial, Luca Valentino            	AsociacionYabrudense          	487	7
3309	Lopez Castaño, Joaquin             	Top Minc                      	486	7
3310	Gallardo, Elias                    	Libre                         	486	7
3311	Montenegro, Elian                  	TMR                           	486	7
