Pos	Jugador	Club	Puntos	Categoria
249	Cornejo, Franco                    	GTM                           	764	5
250	Inciarte, Carlos                   	GTM                           	761	5
251	Takahashi, Brisa C.                	Gimnasty                      	758	5
252	Von Eckstein, Juan Jose            	GTM                           	751	5
253	Aladro, Ignacio                    	Atlanta                       	751	5
254	Santostefano, Marcelo              	Tigre TDM                     	750	5
255	Starkstein, Simon Juan             	Sociedad Hebraica             	748	5
256	Ramos, Sebastian                   	Ateneo de Versailles          	748	5
257	Villarruel, Ary Javier             	Urquiza                       	745	5
258	Siderio, Julián                    	Top Minc                      	733	5
259	Kalomiris, Pablo                   	Ateneo de Versailles          	732	5
260	Gomez, Ian                         	Lourdes                       	731	5
261	Mendez, Maitena Nerea              	Social Club TDM               	729	6
262	Martinez, Guillermo                	Fenix                         	721	6
263	Polo, Agustin                      	UGAB                          	720	6
264	Cesaretti, Daniel                  	Instituto Cia. Maria          	716	6
265	Fradkin, Guido                     	River Plate                   	715	6
266	Benitez, Walter                    	TMR                           	715	6
267	Espinosa, Juan Ignacio             	La Legión TDM                 	714	6
268	Fior, Santiago Danilo              	TMR                           	714	6
269	Cachaza, Bautista                  	Gimnasty                      	714	6
270	Iwasa, Abril                       	River Plate                   	712	6
271	Hurevich, Mariano                  	River Plate                   	709	6
272	Monali, Sofia                      	Fenix                         	708	6
273	Barbagallo, Diego Hernán           	Lourdes                       	701	6
274	Devesa, Gabriel F.                 	Atlanta                       	700	6
275	Primavera, Agustin Ezequ           	River Plate                   	699	6
276	Gutierrez, Lucas                   	Alvear Club                   	694	6
277	Sposato, Valentino                 	River Plate                   	691	6
278	Cendra, Martin                     	Rioja                         	690	6
279	Starosta, Ramiro                   	GTM                           	689	6
280	Di Pietrantonio, Cristian          	La Legión TDM                 	686	6
281	Rodriguez, Martin A                	CAVA                          	685	6
282	Chocobar, Gaston                   	CEDIMA                        	683	6
283	Albariño, Pablo                    	Alvear Club                   	681	6
284	Iwasa, Pilar                       	River Plate                   	680	6
285	Peñate, Tomas N.                   	CTDM Pato Nizetich            	679	6
286	Romano, Maria Rosario              	Tigre TDM                     	678	6
287	Marcovich, Andrés                  	Fenix                         	675	6
288	Nemeth, Jozsef                     	CTDM Pato Nizetich            	667	6
289	Chapuis, Maria Jacqueline          	TMR                           	664	6
290	Mangone, Leandro A.                	Alvear Club                   	661	6
291	Kurchan, Martina                   	Nichia Gakuin                 	653	6
292	Brudny, Diego E.                   	Macabi                        	641	6
293	Guarenas, Jean Carlo               	Instituto Cia. Maria          	637	6
294	Dunayevich, Santiago               	Fenix                         	633	6
295	Banegas, Ivan                      	Alvear Club                   	631	6
296	Carrillo, Hernan H.                	Adrogue Sith Spin             	628	6
297	Tenenbaum, Alan                    	Sociedad Hebraica             	619	6
298	Herrera, Juan Ignacio              	Lourdes                       	615	6
299	Kurchan, Leandro                   	Nichia Gakuin                 	609	6
300	Leutwyler, Nicolas                 	Lourdes                       	596	6
301	Sarabia, Matias                    	Lourdes                       	595	6
302	Bagnato, Alejandro                 	Instituto Cia. Maria          	592	6
303	Di Corrado, Gustavo                	River Plate                   	590	6
304	Lopez, Rodrigo                     	La Legión TDM                 	588	6
305	Antunez, Osvaldo                   	Libre                         	586	6
306	Scarfone, Nicolás                  	River Plate                   	585	6
307	Garrido, Ernesto                   	Rioja                         	585	6
308	Acuña Viera, Dilan A.              	CEDIMA                        	580	6
309	Mango, Felipe                      	UGAB                          	579	6
310	Bouzas, Marcelo                    	Padilla                       	577	6
311	Quiceno, Guillermo                 	Estacion Ping Pong            	573	7
312	Garcia, Brian F.                   	Atlanta                       	568	7
313	Belsito, Martin                    	Libre                         	566	7
314	Molina, Tomas                      	Fenix                         	565	7
315	Sassone, Marco                     	Tigre TDM                     	564	7
316	Aguilar Solis, Francisco           	Atlanta                       	560	7
317	Guarino Muñoz, Alejo E.            	CEDIMA                        	550	7
318	Quiroga, Edgardo                   	Estacion Ping Pong            	550	7
319	Gil Baez, Rodrigo                  	Fenix                         	549	7
320	Lopez, Lautaro                     	Peretz                        	549	7
321	Kaladjian, Leonardo                	Alvear Club                   	545	7
322	Blejman, Mariano                   	Fenix                         	543	7
323	Nupieri, Sofía                     	UGAB                          	540	7
324	Paladino, Martin                   	Ateneo de Versailles          	538	7
325	Marini, Eduardo                    	Ferrocarril Oeste             	533	7
326	Cuenca, Roy                        	Instituto Cia. Maria          	530	7
327	Arias, Joaquin                     	Alvear Club                   	529	7
328	Silva, Jorge E.                    	Ateneo de Versailles          	528	7
329	Monteforte, Nicolas A.             	Lourdes                       	528	7
330	Mendoza, Franco                    	GTM                           	527	7
331	Rojas, Mauricio                    	Padilla                       	520	7
332	Perlov, Lucas                      	Sociedad Hebraica             	518	7
333	Bustos Huertas, Lucia              	Alvear Club                   	509	7
334	Mieli, Julian                      	TMR                           	505	7
335	Andrade, Facundo                   	Alvear Club                   	495	7
336	Frol, Esteban                      	TMR                           	495	7
337	Vargas, Joel                       	Libre                         	482	7
338	Dominguez, Elias                   	GTM                           	477	7
339	Sassoon, Maximiliano               	River Plate                   	476	7
340	Luna, Leonardo                     	CEDIMA                        	475	7
341	Santillan, Elbio                   	Ferrocarril Oeste             	475	7
342	Spinelli, Thiago E.                	Ferrocarril Oeste             	471	7
343	Gualtieri, Julian                  	Lourdes                       	468	7
344	Kurchan, Rodolfo                   	Nichia Gakuin                 	465	7
345	Senderowitsch, Leonardo            	Atlanta                       	464	7
346	Banegas, Francisco                 	UGAB                          	443	7
347	Cuello, Lorena                     	Lourdes                       	434	7
348	Vulcano, Julio Cesar               	Alvear Club                   	284	7
