indra	prov	depto	circuito	secelec	departamento	x	y
020250237	02	025	0237	6	Coronel Dorrego	-61.067085042544434	-38.6490127179345
020250237A	02	025	0237A	6	Coronel Dorrego	-60.96257767351177	-38.77690328075739
020250238	02	025	0238	6	Coronel Dorrego	-60.74628627112005	-38.8518117776673
020260240	02	026	0240	6	Coronel Pringles	-61.38027181588891	-37.963424085748734
020260241	02	026	0241	6	Coronel Pringles	-61.13065764165486	-37.87773445387956
020260242	02	026	0242	6	Coronel Pringles	-61.20169748096811	-38.07871246229467
020260243	02	026	0243	6	Coronel Pringles	-60.89837724412985	-38.177607553693306
020260244	02	026	0244	6	Coronel Pringles	-61.50586587969526	-38.08618544524358
020260245	02	026	0245	6	Coronel Pringles	-61.30215504898104	-38.25200033766887
020260246	02	026	0246	6	Coronel Pringles	-61.60258192687786	-38.37274011202359
020270248	02	027	0248	6	Coronel de Marina L.Rosal	-62.037362228413876	-38.86368411225817
020270248A	02	027	0248A	6	Coronel de Marina L.Rosal	-61.61354895408648	-38.946807540115714
020270248B	02	027	0248B	6	Coronel de Marina L.Rosal	-61.829115777254806	-38.85172194882138
020270249	02	027	0249	6	Coronel de Marina L.Rosal	-61.907805634880994	-38.73343328776226
020270249A	02	027	0249A	6	Coronel de Marina L.Rosal	-62.08221408833057	-38.796604513142015
020280252	02	028	0252	6	Coronel Suarez	-62.039767138038506	-37.56714686918333
020280253	02	028	0253	6	Coronel Suarez	-61.88437023223252	-37.55322958593268
020280254	02	028	0254	6	Coronel Suarez	-61.89232919496627	-37.15911717038454
020280255	02	028	0255	6	Coronel Suarez	-61.734201411330325	-37.481604389455995
020280255A	02	028	0255A	6	Coronel Suarez	-61.600563818609324	-37.71592587502093
020280256	02	028	0256	6	Coronel Suarez	-61.829858581303924	-37.85869575979862
020280256A	02	028	0256A	6	Coronel Suarez	-61.76106361827859	-38.077038856184956
020280257	02	028	0257	6	Coronel Suarez	-62.29786455802784	-37.3519270043538
020280258	02	028	0258	6	Coronel Suarez	-62.18249210661898	-37.258847396233016
020280258A	02	028	0258A	6	Coronel Suarez	-61.90914050580403	-37.510604255318526
020280258B	02	028	0258B	6	Coronel Suarez	-61.93766896310489	-37.48633744264802
020280258C	02	028	0258C	6	Coronel Suarez	-62.12672324570346	-37.4077692476362
020290189	02	029	0189	4	Chacabuco	-60.46984882529862	-34.64321639167293
020290190	02	029	0190	4	Chacabuco	-60.63932641193367	-34.63937492705043
020290191	02	029	0191	4	Chacabuco	-60.53340854080094	-34.752383528133954
020290192	02	029	0192	4	Chacabuco	-60.44193925989819	-34.804543460037976
020290193	02	029	0193	4	Chacabuco	-60.57305567183691	-34.51407424528079
020290194	02	029	0194	4	Chacabuco	-60.43220484060149	-34.517752227494675
020290195	02	029	0195	4	Chacabuco	-60.33555369806946	-34.74090889265067
020290196	02	029	0196	4	Chacabuco	-60.25092734152283	-34.65693033936106
020290196A	02	029	0196A	4	Chacabuco	-60.217143469343746	-34.508131265463845
020290197	02	029	0197	4	Chacabuco	-60.051812135961185	-34.5880030868283
020290198	02	029	0198	4	Chacabuco	-59.947476067380244	-34.63592414334787
020300201	02	030	0201	5	Chascomus	-57.96536102137563	-35.62438689825416
020300202	02	030	0202	5	Chascomus	-57.8506696514649	-35.6789964178657
020300203	02	030	0203	5	Chascomus	-57.97586862958134	-35.52566361694576
020300204	02	030	0204	5	Chascomus	-58.039286396714715	-35.43592497717437
020300205	02	030	0205	5	Chascomus	-57.84904502110772	-35.49068149508662
020300206	02	030	0206	5	Chascomus	-57.619682895991815	-35.65890672572942
020300207	02	030	0207	5	Chascomus	-57.90498906612732	-35.87811763613355
020300208	02	030	0208	5	Chascomus	-58.080971920270656	-35.81250128893564
020300209	02	030	0209	5	Chascomus	-58.1687971896806	-35.64555706614281
020300209A	02	030	0209A	5	Chascomus	-58.32814594623865	-35.76706068644886
020310211	02	031	0211	4	Chivilcoy	-60.01260143113728	-34.913980177617105
020310212	02	031	0212	4	Chivilcoy	-60.10248909196237	-34.96830752757029
020310213	02	031	0213	4	Chivilcoy	-60.162396545571006	-34.92857489219603
020310214	02	031	0214	4	Chivilcoy	-60.21643390922476	-34.872336705053634
020310215	02	031	0215	4	Chivilcoy	-60.124547941113256	-34.79833232174863
020310216	02	031	0216	4	Chivilcoy	-60.039482379611776	-34.715944475926385
020310217	02	031	0217	4	Chivilcoy	-59.93559613673274	-34.784033754170665
020310218	02	031	0218	4	Chivilcoy	-59.85467803785137	-34.84103187335814
020310219	02	031	0219	4	Chivilcoy	-59.911721155495165	-34.924221106610524
020310220	02	031	0220	4	Chivilcoy	-59.80818241773453	-34.99412944264439
020310221	02	031	0221	4	Chivilcoy	-59.75489411899713	-34.91641310061545
020310222	02	031	0222	4	Chivilcoy	-59.698008696873075	-35.027614254747775
020310223	02	031	0223	4	Chivilcoy	-59.83110769350853	-35.11097310156313
020310224	02	031	0224	4	Chivilcoy	-59.910150154998306	-35.07223701556681
020310225	02	031	0225	4	Chivilcoy	-59.96777335656864	-35.04596235722582
020310226	02	031	0226	4	Chivilcoy	-60.067036623875204	-35.03889588464691
020320179	02	032	0179	6	Daireaux	-61.72899557615963	-36.582313248167544
020320180	02	032	0180	6	Daireaux	-61.550251576851124	-36.78061438139741
020320181	02	032	0181	6	Daireaux	-61.88670721598349	-36.74177627043132
020320182	02	032	0182	6	Daireaux	-62.09254340930017	-36.51374415421051
020320183	02	032	0183	6	Daireaux	-62.24391606184963	-36.3927023204541
020330282	02	033	0282	5	Dolores	-57.664829038521276	-36.314416976175664
020330283	02	033	0283	5	Dolores	-57.517259479120376	-36.36456539220415
020330284	02	033	0284	5	Dolores	-57.6298443639463	-36.57329191705126
020330285	02	033	0285	5	Dolores	-57.79460276979416	-36.260775981763
020340490	02	034	0490	3	Ensenada	-57.948250641816216	-34.8853393629188
