circuito	FRENTE DE TODOS	JUNTOS POR EL CAMBIO	CONSENSO FEDERAL	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	FRENTE NOS	MOVIMIENTO DE AVANZADA SOCIALISTA	FRENTE PATRIOTA	PARTIDO DIGNIDAD POPULAR	MOVIMIENTO ORGANIZACION DEMOCRATICA
0211100933B	2232	2442	310	137	80	37	10	10	3
0211100933C	1281	3279	314	149	77	45	10	8	3
0211100933D	970	1520	168	66	31	13	1	2	1
0211100933E	1933	1255	233	99	71	27	7	3	6
0211100933F	2266	2462	391	159	94	43	11	7	7
0211100933G	1632	716	114	77	56	29	9	4	3
0211100933H	1784	868	197	74	67	26	6	4	7
0211100933I	3491	2717	543	225	169	57	16	15	8
0211100933J	1735	1840	323	118	86	34	10	7	3
0211100933K	3238	6214	748	296	155	70	13	13	8
0211100933L	5679	9589	1314	544	237	109	39	25	12
0211100933M	44	68	15	2	5	0	1	1	0
0211300534A	20649	14057	2793	1726	905	319	83	150	52
0211300535A	24439	10675	2725	2062	1155	357	107	159	65
0211300536A	1517	2044	209	108	100	22	5	11	4
0211400955A	568	921	90	59	19	17	12	1	4
0211400955B	186	239	12	19	2	1	1	0	0
0211500961A	7	17	4	0	1	0	0	0	0
0211500961B	4	4	0	0	0	0	0	0	0
0211500961C	2	12	0	0	0	0	0	0	0
0211500961D	54	64	5	1	0	0	0	0	0
0211700973A	486	499	54	34	20	3	3	2	1
0211700975A	18	16	0	0	0	0	0	0	0
0211700975B	168	136	10	10	5	1	1	0	1
0211800394A	3718	6624	759	499	142	120	25	20	5
0211900337A	2041	1385	326	143	63	25	11	8	6
0211900337B	5325	4045	585	353	280	71	13	33	11
0211900337C	2888	2206	316	217	163	30	16	19	6
0211900337D	2683	2689	440	214	152	44	13	32	7
0211900337E	5890	4567	548	325	257	78	20	25	12
0212200993A	1701	6736	506	243	87	79	13	11	4
0212201000A	1832	3496	497	265	59	52	18	12	3
0212201001A	1324	5245	381	205	101	51	17	8	0
0212401011A	984	944	68	32	36	10	4	3	4
0212501013A	62	22	3	3	1	0	0	0	0
0212700361A	44	57	6	2	0	0	0	0	1
0212800304A	13854	3674	774	637	220	85	40	19	16
0212800304B	5861	1723	356	240	194	36	17	11	10
0212800304C	2072	349	82	69	43	8	3	3	5
0212900398A	38785	8582	2214	1591	1299	298	93	368	55
0212900398B	27436	9674	2660	1687	884	367	99	177	62
0213000399A	17710	6227	1516	840	524	152	64	50	34
0213000399B	12712	5353	1095	805	430	119	38	58	30
0213000399C	848	249	68	34	24	7	5	4	0
0213000399D	13413	6006	1235	766	458	167	39	35	31
0213000399E	8961	3739	855	604	293	109	29	25	19
0213000399F	22438	14097	2372	1506	806	331	63	82	43
0213000399G	11153	2656	638	428	339	58	34	33	27
0213100613A	368	369	23	14	3	0	5	0	1
0213100613B	324	200	27	10	2	0	0	1	0
0213200290A	12727	4509	1045	717	351	119	54	71	59
0213200290B	10182	2818	769	511	171	68	23	64	15
0213300666A	11933	7383	1741	944	377	177	47	20	28
0213400668A	19587	7150	1751	1296	1076	210	66	79	37
0213400668B	21973	11230	2967	1673	910	311	86	101	41
0213500207L	1599	1711	263	68	19	10	4	4	4
02001000001	2515	3581	333	78	35	23	9	4	8
02001000002	1	14	0	0	0	0	0	0	0
02001000003	717	1349	121	33	4	12	2	0	7
02001000004	2	11	2	0	0	0	0	0	0
02001000005	195	541	42	6	3	5	0	0	1
02001000006	17	43	4	1	1	0	1	0	1
