Depto	Partido	Circuito	Mesa	Votos
Almirante Brown	CAMBIANDO JUNTOS	0018	95	101
Almirante Brown	CELESTE Y BLANCA U	0018	95	90
Almirante Brown	CAMBIANDO JUNTOS	0018	96	86
Almirante Brown	CELESTE Y BLANCA U	0018	96	106
Almirante Brown	CAMBIANDO JUNTOS	0018	97	108
Almirante Brown	CELESTE Y BLANCA U	0018	97	80
Almirante Brown	CAMBIANDO JUNTOS	0018	98	95
Almirante Brown	CELESTE Y BLANCA U	0018	98	116
Almirante Brown	CAMBIANDO JUNTOS	0018	99	105
Almirante Brown	CELESTE Y BLANCA U	0018	99	83
Almirante Brown	CAMBIANDO JUNTOS	0018	100	106
Almirante Brown	CELESTE Y BLANCA U	0018	100	103
Almirante Brown	CAMBIANDO JUNTOS	0018	101	112
Almirante Brown	CELESTE Y BLANCA U	0018	101	75
Almirante Brown	CAMBIANDO JUNTOS	0018	102	97
Almirante Brown	CELESTE Y BLANCA U	0018	102	100
Almirante Brown	CAMBIANDO JUNTOS	0018	103	72
Almirante Brown	CELESTE Y BLANCA U	0018	103	107
Almirante Brown	CAMBIANDO JUNTOS	0018	104	67
Almirante Brown	CELESTE Y BLANCA U	0018	104	99
Almirante Brown	CAMBIANDO JUNTOS	0018	105	74
Almirante Brown	CELESTE Y BLANCA U	0018	105	99
Almirante Brown	CAMBIANDO JUNTOS	0018	106	75
Almirante Brown	CELESTE Y BLANCA U	0018	106	117
Almirante Brown	CAMBIANDO JUNTOS	0018	107	93
Almirante Brown	CELESTE Y BLANCA U	0018	107	107
Almirante Brown	CAMBIANDO JUNTOS	0018	108	91
Almirante Brown	CELESTE Y BLANCA U	0018	108	92
Almirante Brown	CAMBIANDO JUNTOS	0018	109	76
Almirante Brown	CELESTE Y BLANCA U	0018	109	127
Almirante Brown	CAMBIANDO JUNTOS	0018	110	81
Almirante Brown	CELESTE Y BLANCA U	0018	110	100
Almirante Brown	CAMBIANDO JUNTOS	0018	111	81
Almirante Brown	CELESTE Y BLANCA U	0018	111	101
Almirante Brown	CAMBIANDO JUNTOS	0018	112	119
Almirante Brown	CELESTE Y BLANCA U	0018	112	80
Almirante Brown	CAMBIANDO JUNTOS	0018	113	79
Almirante Brown	CELESTE Y BLANCA U	0018	113	102
Almirante Brown	CAMBIANDO JUNTOS	0018	114	0
Almirante Brown	CELESTE Y BLANCA U	0018	114	0
Almirante Brown	CAMBIANDO JUNTOS	0018	115	0
Almirante Brown	CELESTE Y BLANCA U	0018	115	0
Almirante Brown	CAMBIANDO JUNTOS	0018	116	84
Almirante Brown	CELESTE Y BLANCA U	0018	116	101
Almirante Brown	CAMBIANDO JUNTOS	0018	117	92
Almirante Brown	CELESTE Y BLANCA U	0018	117	81
Almirante Brown	CAMBIANDO JUNTOS	0018	118	92
Almirante Brown	CELESTE Y BLANCA U	0018	118	110
Almirante Brown	CAMBIANDO JUNTOS	0018	119	78
Almirante Brown	CELESTE Y BLANCA U	0018	119	109
Almirante Brown	CAMBIANDO JUNTOS	0018	120	129
Almirante Brown	CELESTE Y BLANCA U	0018	120	78
Almirante Brown	CAMBIANDO JUNTOS	0018	121	73
Almirante Brown	CELESTE Y BLANCA U	0018	121	118
Almirante Brown	CAMBIANDO JUNTOS	0018	122	120
Almirante Brown	CELESTE Y BLANCA U	0018	122	102
Almirante Brown	CAMBIANDO JUNTOS	0018	123	92
Almirante Brown	CELESTE Y BLANCA U	0018	123	88
Almirante Brown	CAMBIANDO JUNTOS	0018	124	67
Almirante Brown	CELESTE Y BLANCA U	0018	124	121
Almirante Brown	CAMBIANDO JUNTOS	0018	125	91
Almirante Brown	CELESTE Y BLANCA U	0018	125	105
Almirante Brown	CAMBIANDO JUNTOS	0018	126	83
Almirante Brown	CELESTE Y BLANCA U	0018	126	109
Almirante Brown	CAMBIANDO JUNTOS	0018	127	90
Almirante Brown	CELESTE Y BLANCA U	0018	127	111
Almirante Brown	CAMBIANDO JUNTOS	0018	128	72
Almirante Brown	CELESTE Y BLANCA U	0018	128	119
Almirante Brown	CAMBIANDO JUNTOS	0018	129	88
Almirante Brown	CELESTE Y BLANCA U	0018	129	85
Almirante Brown	CAMBIANDO JUNTOS	0018	130	87
Almirante Brown	CELESTE Y BLANCA U	0018	130	77
Almirante Brown	CAMBIANDO JUNTOS	0018	131	86
Almirante Brown	CELESTE Y BLANCA U	0018	131	101
Almirante Brown	CAMBIANDO JUNTOS	0018	132	92
Almirante Brown	CELESTE Y BLANCA U	0018	132	104
Almirante Brown	CAMBIANDO JUNTOS	0018	133	88
Almirante Brown	CELESTE Y BLANCA U	0018	133	100
Almirante Brown	CAMBIANDO JUNTOS	0018	134	91
Almirante Brown	CELESTE Y BLANCA U	0018	134	101
Almirante Brown	CAMBIANDO JUNTOS	0018	135	81
Almirante Brown	CELESTE Y BLANCA U	0018	135	107
Almirante Brown	CAMBIANDO JUNTOS	0018	136	108
Almirante Brown	CELESTE Y BLANCA U	0018	136	95
Almirante Brown	CAMBIANDO JUNTOS	0018	137	80
Almirante Brown	CELESTE Y BLANCA U	0018	137	122
Almirante Brown	CAMBIANDO JUNTOS	0018	138	67
Almirante Brown	CELESTE Y BLANCA U	0018	138	106
Almirante Brown	CAMBIANDO JUNTOS	0018	139	71
Almirante Brown	CELESTE Y BLANCA U	0018	139	125
Almirante Brown	CAMBIANDO JUNTOS	0018	140	74
