CODIGO PROVINCIA;CODIGO DEPARTAMENTO;CODIGO CIRCUITO   ;CODIGO MESA;AMBITO;CODIGO VOTOS;VOTOS
01;001;0002 ;0046; ;9003;000
01;001;0002 ;0046; ;9004;010
01;001;0002 ;0046; ;9005;003
01;001;0002 ;0046; ;9006;000
01;001;0002 ;0046; ;0131;110
01;001;0002 ;0046; ;0135;136
01;001;0002 ;0047; ;9001;348
01;001;0002 ;0047; ;9002;256
01;001;0002 ;0047; ;9003;000
01;001;0002 ;0047; ;9004;005
01;001;0002 ;0047; ;9005;004
01;001;0002 ;0047; ;9006;000
01;001;0002 ;0047; ;0131;110
01;001;0002 ;0047; ;0135;137
01;001;0002 ;0048; ;9001;347
01;001;0002 ;0048; ;9002;247
01;001;0002 ;0048; ;9003;000
01;001;0002 ;0048; ;9004;002
01;001;0002 ;0048; ;9005;007
01;001;0002 ;0048; ;9006;000
01;001;0002 ;0048; ;0131;113
01;001;0002 ;0048; ;0135;125
01;001;0002 ;0049; ;9001;348
01;001;0002 ;0049; ;9002;250
01;001;0002 ;0049; ;9003;000
01;001;0002 ;0049; ;9004;006
01;001;0002 ;0049; ;9005;002
01;001;0002 ;0049; ;9006;000
01;001;0002 ;0049; ;0131;097
01;001;0002 ;0049; ;0135;145
01;001;0002 ;0050; ;9001;346
01;001;0002 ;0050; ;9002;270
01;001;0002 ;0050; ;9003;000
01;001;0002 ;0050; ;9004;003
01;001;0002 ;0050; ;9005;007
01;001;0002 ;0050; ;9006;000
01;001;0002 ;0050; ;0131;125
01;001;0002 ;0050; ;0135;135
01;001;0002 ;0051; ;9001;345
01;001;0002 ;0051; ;9002;254
01;001;0002 ;0051; ;9003;000
01;001;0002 ;0051; ;9004;006
01;001;0002 ;0051; ;9005;003
01;001;0002 ;0051; ;9006;000
01;001;0002 ;0051; ;0131;111
01;001;0002 ;0051; ;0135;134
01;001;0002 ;0052; ;9001;348
01;001;0002 ;0052; ;9002;259
01;001;0002 ;0052; ;9003;000
01;001;0002 ;0052; ;9004;006
01;001;0002 ;0052; ;9005;006
01;001;0002 ;0052; ;9006;000
01;001;0002 ;0052; ;0131;111
01;001;0002 ;0052; ;0135;136
01;001;0002 ;0053; ;9001;348
01;001;0002 ;0053; ;9002;253
01;001;0002 ;0053; ;9003;000
01;001;0002 ;0053; ;9004;003
01;001;0002 ;0053; ;9005;005
01;001;0002 ;0053; ;9006;000
01;001;0002 ;0053; ;0131;106
01;001;0002 ;0053; ;0135;139
01;001;0002 ;0054; ;9001;347
01;001;0002 ;0054; ;9002;250
01;001;0002 ;0054; ;9003;000
01;001;0002 ;0054; ;9004;013
01;001;0002 ;0054; ;9005;000
01;001;0002 ;0054; ;9006;000
01;001;0002 ;0054; ;0131;106
01;001;0002 ;0054; ;0135;131
01;001;0002 ;0055; ;9001;347
01;001;0002 ;0055; ;9002;259
01;001;0002 ;0055; ;9003;000
01;001;0002 ;0055; ;9004;008
01;001;0002 ;0055; ;9005;005
01;001;0002 ;0055; ;9006;000
01;001;0002 ;0055; ;0131;116
01;001;0002 ;0055; ;0135;130
01;001;0002 ;0056; ;9001;347
01;001;0002 ;0056; ;9002;263
01;001;0002 ;0056; ;9003;000
01;001;0002 ;0056; ;9004;004
01;001;0002 ;0056; ;9005;000
01;001;0002 ;0056; ;9006;000
01;001;0002 ;0056; ;0131;128
01;001;0002 ;0056; ;0135;131
01;001;0002 ;0057; ;9001;346
01;001;0002 ;0057; ;9002;250
01;001;0002 ;0057; ;9003;000
01;001;0002 ;0057; ;9004;007
01;001;0002 ;0057; ;9005;005
01;001;0002 ;0057; ;9006;000
01;001;0002 ;0057; ;0131;118
01;001;0002 ;0057; ;0135;120
01;001;0002 ;0058; ;9001;346
01;001;0002 ;0058; ;9002;000
01;001;0002 ;0058; ;9003;000
01;001;0002 ;0058; ;9004;006
01;001;0002 ;0058; ;9005;005
01;001;0002 ;0058; ;9006;000
01;001;0002 ;0058; ;0131;125
01;001;0002 ;0058; ;0135;121
01;001;0002 ;0059; ;9001;346
01;001;0002 ;0059; ;9002;253
01;001;0002 ;0059; ;9003;000
01;001;0002 ;0059; ;9004;004
01;001;0002 ;0059; ;9005;010
01;001;0002 ;0059; ;9006;000
01;001;0002 ;0059; ;0131;101
01;001;0002 ;0059; ;0135;132
01;001;0002 ;0060; ;9001;347
01;001;0002 ;0060; ;9002;246
01;001;0002 ;0060; ;9003;000
01;001;0002 ;0060; ;9004;003
01;001;0002 ;0060; ;9005;009
01;001;0002 ;0060; ;9006;000
01;001;0002 ;0060; ;0131;118
01;001;0002 ;0060; ;0135;116
01;001;0003 ;0061; ;9001;327
01;001;0003 ;0061; ;9002;265
01;001;0003 ;0061; ;9003;000
01;001;0003 ;0061; ;9004;002
01;001;0003 ;0061; ;9005;001
01;001;0003 ;0061; ;9006;000
01;001;0003 ;0061; ;0131;036
01;001;0003 ;0061; ;0135;226
01;001;0003 ;0062; ;9001;325
01;001;0003 ;0062; ;9002;258
01;001;0003 ;0062; ;9003;000
01;001;0003 ;0062; ;9004;004
01;001;0003 ;0062; ;9005;002
01;001;0003 ;0062; ;9006;000
01;001;0003 ;0062; ;0131;026
01;001;0003 ;0062; ;0135;226
01;001;0003 ;0063; ;9001;323
01;001;0003 ;0063; ;9002;261
01;001;0003 ;0063; ;9003;000
01;001;0003 ;0063; ;9004;004
01;001;0003 ;0063; ;9005;000
01;001;0003 ;0063; ;9006;000
