datetime,latitude,longitude
2018-09-07 16:32:53,40.4192364,-3.7052803
2018-09-07 16:33:13,40.4192342,-3.7052795
2018-09-07 16:39:46,40.4194469,-3.705287
2018-09-07 16:40:19,40.4195751,-3.7052988
2018-09-07 16:41:11,40.4196306,-3.7052433
2018-09-07 16:41:26,40.4196057,-3.7052987
2018-09-07 16:42:17,40.4195546,-3.7053292
2018-09-07 16:42:41,40.4195547,-3.7053293
2018-09-07 16:43:10,40.4195586,-3.7053484
2018-09-07 16:47:05,40.4196115,-3.7052975
2018-09-07 16:47:45,40.4197177,-3.705323
2018-09-07 16:56:49,40.4201203,-3.7030993
2018-09-07 16:57:07,40.4199701,-3.7022001
2018-09-07 16:57:36,40.4200229,-3.7019825
2018-09-07 16:57:56,40.4200825,-3.7021651
2018-09-07 16:59:08,40.4197097,-3.7015763
2018-09-07 17:00:30,40.4193896,-3.7003356
2018-09-07 17:03:08,40.4193896,-3.7003356
2018-09-07 17:03:29,40.4194097,-3.7003044
2018-09-07 17:03:49,40.4194097,-3.7003044
2018-09-07 17:05:50,40.4194101,-3.7003065
2018-09-07 17:08:50,40.4194204,-3.7002919
2018-09-07 17:09:10,40.4194027,-3.7002988
2018-09-07 17:09:50,40.4194203,-3.7002907
2018-09-07 17:10:50,40.4194153,-3.7002837
2018-09-07 17:12:30,40.4194209,-3.700288
2018-09-07 17:14:10,40.419419,-3.7002921
2018-09-07 17:15:50,40.4194015,-3.7003205
2018-09-07 17:17:10,40.4193979,-3.7003237
2018-09-07 17:19:10,40.4193972,-3.7003263
2018-09-07 17:21:10,40.4193893,-3.700337
2018-09-07 17:22:30,40.4193976,-3.7003257
2018-09-07 17:23:10,40.4194207,-3.7002879
2018-09-07 17:39:42,40.419422,-3.7002892
2018-09-07 17:43:37,40.4193902,-3.7003354
2018-09-07 17:47:00,40.4194199,-3.7002903
2018-09-07 17:52:17,40.419397,-3.7003272
2018-09-07 17:52:41,40.4193898,-3.7003503
2018-09-07 17:53:57,40.4193906,-3.7003366
