fecha	carrera
21-03-2014	Ingeniería Industrial
01-04-1982	Ingeniería Industrial
01-04-1982	Ingeniería Mecánica
26-05-2010	Lic.en Administración y Sistemas
21-07-2006	Ingeniería Industrial
01-03-1974	Ingeniería Electrónica
28-12-1970	Licenciatura en Hidrografía
01-04-1984	Ingeniería Electrónica
01-07-1983	Ingeniería Industrial
20-11-2009	Ingeniería Industrial
03-08-2016	Ingeniería Química
26-05-2009	Ingeniería Industrial
01-08-1986	Licenciatura en Oceanografía
14-07-1993	Ingeniería Química
23-07-2004	Ingeniería Electrónica
01-04-1966	Ingeniería Industrial
19-12-1996	Ingeniería Mecánica
01-12-1971	Ingeniería Industrial
04-08-2011	Ingeniería Química
04-07-2003	Ingeniería Industrial
31-07-2002	Ingeniería Industrial
13-06-2001	Ingeniería Electrónica
30-03-2004	Ingeniería en Informática
02-09-1996	Ingeniería Electrónica
30-08-2013	Ingeniería Industrial
24-08-1987	Licenciatura en Análisis de Sistemas
05-05-1987	Ingeniería Industrial
29-06-2004	Ingeniería Química
06-10-2006	Ingeniería Electrónica
02-07-1996	Ingeniería Industrial
07-08-2015	Ingeniería Industrial
19-08-2008	Ingeniería Química
25-08-2005	Ingeniería Industrial
21-02-2013	Ingeniería Industrial
20-12-2013	Ingeniería Industrial
29-08-2013	Ingeniería en Informática
05-03-2003	Ingeniería Industrial
01-12-1980	Ingeniería Química
09-09-1985	Ingeniería Eléctrica
07-09-1995	Ingeniería Química
29-08-2008	Ingeniería Industrial
05-05-2003	Ingeniería Electrónica
31-07-2002	Ingeniería en Informática
30-07-2010	Ingeniería Química
01-03-1982	Ingeniería Química
29-05-2002	Ingeniería Industrial
28-05-2015	Ingeniería Industrial
01-05-1983	Ingeniería Industrial
02-03-1984	Ingeniería Industrial
07-04-2005	Ingeniería Industrial
16-08-2000	Ingeniería Industrial
01-12-1974	Ingeniería Industrial
27-03-1987	Ingeniería Electrónica
01-12-1976	Ingeniería Electrónica
03-04-2000	Ingeniería Industrial
21-05-1997	Ingeniería Industrial
01-03-1974	Ingeniería Industrial
14-02-2000	Ingeniería Mecánica
02-06-2005	Ingeniería Industrial
18-10-2012	Ingeniería Industrial
01-04-2004	Licenciatura en Oceanografía
14-06-1995	Ingeniería Electrónica
28-07-2006	Ingeniería en Informática
07-04-1999	Ingeniería Industrial
17-07-2014	Ingeniería Industrial
18-08-2006	Ingeniería Industrial
01-03-1982	Ingeniería Electrónica
07-03-2008	Ingeniería en Petróleo
13-02-1992	Ingeniería Industrial
22-04-1991	Ingeniería Naval
01-08-2002	Ingeniería Industrial
08-08-2002	Ingeniería Mecánica
20-12-2001	Ingeniería Electrónica
20-07-2005	Ingeniería Electrónica
01-03-1973	Ingeniería Electrónica
18-02-2013	Ingeniería Industrial
22-07-1995	Ingeniería Industrial
27-08-2002	Ingeniería Mecánica
22-12-1993	Licenciatura en Informática
15-08-2014	Ingeniería Industrial
15-08-2014	Ingeniería Industrial
05-08-2003	Ingeniería Industrial
06-07-2001	Ingeniería Industrial
27-07-1990	Licenciatura en Oceanografía
29-06-1994	Ingeniería Electrónica
27-08-1996	Ingeniería Electrónica
16-08-2012	Ingeniería Industrial
10-12-2012	Ingeniería Industrial
01-02-1985	Licenciatura en Oceanografía
01-12-1974	Ingeniería Industrial
01-01-1981	Ingeniería Electrónica
18-12-2009	Lic.en Administración y Sistemas
17-02-2014	Ingeniería Electrónica
21-12-1992	Ingeniería Electrónica
07-07-2011	Ingeniería Mecánica
22-07-1995	Ingeniería Industrial
19-07-2013	Ingeniería en Informática
19-07-2008	Ingeniería Electrónica
21-10-2002	Ingeniería Industrial
23-06-1994	Ingeniería Industrial
05-05-2014	Lic.en Administración y Sistemas
30-07-1992	Ingeniería Electrónica
03-07-1998	Ingeniería Industrial
03-08-2001	Ingeniería Electrónica
28-05-2012	Lic.en Administración y Sistemas
13-02-2007	Lic.en Administración y Sistemas
29-07-2005	Ingeniería en Informática
22-12-1992	Ingeniería Industrial
05-05-2003	Ingeniería Industrial
07-07-1993	Licenciatura en Oceanografía
08-10-1991	Licenciatura en Informática
24-08-1995	Ingeniería Industrial
14-08-1995	Ingeniería en Petróleo
12-12-2001	Ingeniería Industrial
04-09-2012	Ingeniería Industrial
01-12-1976	Ingeniería Industrial
01-12-1977	Ingeniería Industrial
11-07-2011	Lic.en Administración y Sistemas
01-12-1982	Ingeniería Industrial
01-12-1976	Ingeniería Industrial
01-03-1977	Ingeniería Mecánica
18-08-2015	Ingeniería Industrial
01-03-2011	Ingeniería Industrial
04-07-2000	Ingeniería Química
06-07-2001	Ingeniería Industrial
11-09-2009	Ingeniería Química
31-08-2012	Ingeniería Mecánica
23-07-2015	Ingeniería Industrial
26-08-2001	Ingeniería Mecánica
17-12-2003	Ingeniería Industrial
01-12-1971	Ingeniería Industrial
25-04-2008	Ingeniería Industrial
01-12-1982	Ingeniería Industrial
01-12-1982	Ingeniería Mecánica
21-08-1996	Ingeniería Industrial
25-07-1989	Ingeniería Electrónica
01-08-2011	Ingeniería Industrial
29-04-2008	Ingeniería Industrial
29-12-1977	Ingeniería Naval
20-12-1990	Ingeniería Industrial
16-03-1999	Ingeniería Industrial
07-04-2005	Ingeniería Industrial
10-12-1968	Licenciatura en Hidrografía
26-12-2006	Ingeniería Industrial
02-11-1990	Licenciatura en Oceanografía
01-09-2005	Ingeniería Industrial
27-12-1988	Ingeniería Industrial
11-08-2016	Ingeniería Industrial
27-07-2001	Ingeniería Industrial
22-02-2013	Lic.en Administración y Sistemas
26-03-2012	Lic.en Administración y Sistemas
19-04-1993	Ingeniería Industrial
01-12-1980	Ingeniería Electrónica
30-08-2010	Ingeniería en Informática
13-08-2003	Ingeniería Industrial
01-12-1978	Ingeniería Electrónica
16-07-2003	Ingeniería en Informática
18-07-2013	Ingeniería Química
01-12-1983	Ingeniería Química
01-04-1986	Ingeniería Industrial
22-07-1996	Ingeniería Industrial
06-07-1984	Ingeniería en Armas
02-12-1986	Licenciatura en Análisis de Sistemas
22-09-2004	Ingeniería Industrial
01-12-1986	Licenciatura en Análisis de Sistemas
30-08-2005	Ingeniería Industrial
23-07-1999	Ingeniería Electrónica
01-04-1981	Ingeniería Eléctrica
01-12-1980	Ingeniería Industrial
31-08-2006	Ingeniería Industrial
20-02-1996	Ingeniería Industrial
20-08-1999	Ingeniería Química
30-04-2010	Lic.en Administración y Sistemas
07-07-2015	Ingeniería Química
15-04-1996	Ingeniería Industrial
13-06-2011	Ingeniería Industrial
31-08-2011	Ingeniería Mecánica
20-12-1995	Ingeniería Industrial
05-12-2011	Lic.en Administración y Sistemas
03-03-2010	Lic.en Administración y Sistemas
20-05-2011	Ingeniería Industrial
23-06-1987	Ingeniería Electrónica
01-03-1981	Ingeniería Industrial
02-12-1986	Licenciatura en Análisis de Sistemas
01-12-1969	Ingeniería Industrial
14-12-1990	Ingeniería Industrial
05-05-1998	Ingeniería Industrial
22-11-2007	Ingeniería Industrial
14-08-2015	Ingeniería Industrial
16-05-1996	Ingeniería Industrial
14-07-2016	Ingeniería Industrial
01-03-1977	Ingeniería Electrónica
02-07-1996	Ingeniería Mecánica
20-07-2001	Ingeniería Industrial
22-12-1997	Ingeniería Mecánica
13-07-1995	Ingeniería Industrial
20-12-1989	Ingeniería Electrónica
29-06-1994	Ingeniería Industrial
20-07-2011	Ingeniería Electrónica
01-09-1984	Ingeniería Industrial
21-11-2011	Ingeniería Industrial
14-06-2002	Ingeniería Industrial
30-12-2011	Ingeniería Industrial
08-02-2011	Lic.en Administración y Sistemas
01-11-1985	Licenciatura en Oceanografía
04-07-2003	Ingeniería Industrial
10-08-1989	Ingeniería Industrial
07-06-2006	Ingeniería Mecánica
16-08-2013	Ingeniería Industrial
03-11-1987	Licenciatura en Análisis de Sistemas
22-06-2000	Ingeniería en Informática
05-09-2006	Ingeniería Industrial
24-10-2014	Ingeniería Industrial
27-07-1999	Ingeniería Industrial
03-09-2012	Ingeniería Mecánica
07-08-2002	Ingeniería Industrial
18-08-2005	Ingeniería Electrónica
07-08-2013	Ingeniería Industrial
27-07-2004	Ingeniería en Informática
23-12-2003	Ingeniería en Informática
11-07-2002	Ingeniería Industrial
01-05-1987	Ingeniería Mecánica
08-06-2012	Ingeniería Mecánica
01-12-1979	Ingeniería Mecánica
10-07-1993	Ingeniería Electrónica
17-08-2000	Ingeniería Química
13-07-1995	Ingeniería Industrial
23-04-2001	Ingeniería Industrial
18-12-2009	Lic.en Administración y Sistemas
24-08-1996	Ingeniería Electrónica
16-12-2003	Ingeniería Industrial
05-10-2005	Ingeniería Industrial
23-08-2013	Ingeniería Industrial
17-05-1991	Ingeniería Industrial
19-12-2005	Ingeniería en Informática
14-08-2009	Lic.en Administración y Sistemas
26-12-1989	Ingeniería Electrónica
30-08-2010	Ingeniería en Informática
11-05-2015	Ingeniería Mecánica
30-06-2016	Ingeniería Industrial
10-08-1998	Ingeniería Electrónica
30-08-2005	Ingeniería Industrial
20-07-2016	Ingeniería Química
07-03-2008	Ingeniería Química
